Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)
England,,1990,0.81
England,,1995,1.41
England,,2000,0.44
England,,2005,0.5
England,,2010,0.5
England,,2015,0.39
England,,2019,0.34
Europe & Central Asia (WB),,1990,1.87
Europe & Central Asia (WB),,1995,3.91
Europe & Central Asia (WB),,2000,2.75
Europe & Central Asia (WB),,2005,3.24
Europe & Central Asia (WB),,2010,3.41
Europe & Central Asia (WB),,2015,3.76
Europe & Central Asia (WB),,2019,3.38
OECD Countries,,1990,3.83
OECD Countries,,1995,6.64
OECD Countries,,2000,2.56
OECD Countries,,2005,2.25
OECD Countries,,2010,1.7
OECD Countries,,2015,1.39
OECD Countries,,2019,1.31
