Entity,Code,Year,Oranges | 00000490 || Production | 005510 || tonnes
Brazil,BRA,1961,1761768.0
Brazil,BRA,1970,3099440.0
Brazil,BRA,1980,10891814.0
Brazil,BRA,1990,17520520.0
Brazil,BRA,2000,21330258.0
Brazil,BRA,2010,18503140.0
Brazil,BRA,2021,16214982.0
China,CHN,1961,41000.0
China,CHN,1970,58000.0
China,CHN,1980,171000.0
China,CHN,1990,1165000.0
China,CHN,2000,1054000.0
China,CHN,2010,5618000.0
China,CHN,2021,7550000.0
India,IND,1961,752000.0
India,IND,1970,1200000.0
India,IND,1980,1171000.0
India,IND,1990,2010000.0
India,IND,2000,2674700.0
India,IND,2010,5966400.0
India,IND,2021,10270000.0
Russia,RUS,2000,0.0
Russia,RUS,2010,130.0
Russia,RUS,2021,72.4
United States,USA,1961,4583450.0
United States,USA,1970,7278428.0
United States,USA,1980,10733810.0
United States,USA,1990,7026000.0
United States,USA,2000,11790680.0
United States,USA,2010,7477924.0
United States,USA,2021,4015200.0
