Entity,Code,Year,"Age-standardized deaths that are from diabetes mellitus, blood and endocrine disorders per 100,000 people, in both sexes aged all ages"
Australia,AUS,1950,22.362213
Australia,AUS,1960,18.01502
Australia,AUS,1970,18.128103
Australia,AUS,1980,13.747444
Australia,AUS,1990,13.726703
Australia,AUS,2000,15.059208
Australia,AUS,2010,14.291542
Australia,AUS,2021,14.803285
Russia,RUS,1980,4.146361
Russia,RUS,1990,6.21617
Russia,RUS,2000,7.0345635
Russia,RUS,2010,5.111352
United Kingdom,GBR,1950,16.309704
United Kingdom,GBR,1960,11.010812
United Kingdom,GBR,1970,9.949554
United Kingdom,GBR,1980,9.137859
United Kingdom,GBR,1990,12.184311
United Kingdom,GBR,2000,8.5178795
United Kingdom,GBR,2010,7.474867
United States,USA,1950,22.290726
United States,USA,1960,21.591063
United States,USA,1970,19.815737
United States,USA,1980,16.373003
United States,USA,1990,18.986614
United States,USA,2000,23.158
United States,USA,2010,20.719185
