Entity,Code,Year,"Combined total net enrolment rate, primary, both sexes"
Bangladesh,BGD,1820,0.04
Bangladesh,BGD,1850,0.2
Bangladesh,BGD,1900,3.23
Bangladesh,BGD,1950,33.55
Brazil,BRA,1820,0.86
Brazil,BRA,1850,3.4
Brazil,BRA,1900,13.69
Brazil,BRA,1950,37.8
China,CHN,1820,0.0
China,CHN,1850,0.01
China,CHN,1900,1.4
China,CHN,1950,32.9
Finland,FIN,1820,1.19
Finland,FIN,1850,4.01
Finland,FIN,1900,46.61
Finland,FIN,1950,100.0
Germany,DEU,1820,21.19
Germany,DEU,1850,36.91
Germany,DEU,1900,56.06
Germany,DEU,1950,98.21
India,IND,1820,0.08
India,IND,1850,0.38
India,IND,1900,6.98
India,IND,1950,32.65
Indonesia,IDN,2018,93.4963
Indonesia,IDN,1820,0.01
Indonesia,IDN,1850,0.1
Indonesia,IDN,1900,2.23
Indonesia,IDN,1950,42.68
South Africa,ZAF,1820,4.01
South Africa,ZAF,1850,12.2
South Africa,ZAF,1900,14.18
South Africa,ZAF,1950,40.82
South Korea,KOR,1820,0.0
South Korea,KOR,1850,0.0
South Korea,KOR,1900,0.75
South Korea,KOR,1950,86.91
United Kingdom,GBR,1820,13.34
United Kingdom,GBR,1850,24.11
United Kingdom,GBR,1900,97.8
United Kingdom,GBR,1950,100.0
United States,USA,1820,41.44
United States,USA,1850,80.12
United States,USA,1900,100.0
United States,USA,1950,100.0
World,OWID_WRL,2018,89.4124
World,OWID_WRL,1820,4.193747
World,OWID_WRL,1850,8.559868
World,OWID_WRL,1900,27.476513
World,OWID_WRL,1950,56.84913
