Entity,Code,Year,Coal production - TWh
Africa (EI),,1981,909.9034
Africa (EI),,1985,1198.9108
Africa (EI),,1990,1221.226
Africa (EI),,1995,1416.6951
Africa (EI),,2000,1518.354
Africa (EI),,2005,1646.2347
Africa (EI),,2010,1707.9067
Africa (EI),,2015,1759.014
Africa (EI),,2022,1666.5424
Asia Pacific (EI),,1981,5778.2036
Asia Pacific (EI),,1985,7707.895
Asia Pacific (EI),,1990,9534.419
Asia Pacific (EI),,1995,11816.637
Asia Pacific (EI),,2000,12979.88
Asia Pacific (EI),,2005,20865.725
Asia Pacific (EI),,2010,27775.967
Asia Pacific (EI),,2015,31723.238
Asia Pacific (EI),,2022,37834.746
CIS (EI),,1981,4027.8452
CIS (EI),,1985,2876.8975
CIS (EI),,1990,2871.7485
CIS (EI),,1995,1889.2557
CIS (EI),,2000,1806.2083
CIS (EI),,2005,2028.61
CIS (EI),,2010,2330.255
CIS (EI),,2015,2655.599
CIS (EI),,2022,3155.8367
Europe (EI),,1981,5238.3667
Europe (EI),,1985,6525.848
Europe (EI),,1990,5720.197
Europe (EI),,1995,4024.9175
Europe (EI),,2000,3230.6309
Europe (EI),,2005,2981.9868
Europe (EI),,2010,2667.0283
Europe (EI),,2015,2188.1501
Europe (EI),,2022,1608.466
Middle East (EI),,1981,6.4586625
Middle East (EI),,1985,7.9106092
Middle East (EI),,1990,6.3063607
Middle East (EI),,1995,8.271441
Middle East (EI),,2000,8.640997
Middle East (EI),,2005,11.602195
Middle East (EI),,2010,8.265308
Middle East (EI),,2015,9.089023
Middle East (EI),,2022,13.037628
North America,,1981,5405.495
North America,,1985,5827.29
North America,,1990,6765.0547
North America,,1995,6709.455
North America,,2000,6847.455
North America,,2005,6936.5635
North America,,2010,6632.9727
North America,,2015,5455.4375
North America,,2022,3718.8018
North America (EI),,1981,5405.495
North America (EI),,1985,5827.29
North America (EI),,1990,6765.054
North America (EI),,1995,6709.4546
North America (EI),,2000,6847.455
North America (EI),,2005,6936.564
North America (EI),,2010,6632.9727
North America (EI),,2015,5455.4375
North America (EI),,2022,3718.8018
South and Central America (EI),,1981,78.99077
South and Central America (EI),,1985,131.7563
South and Central America (EI),,1990,226.00471
South and Central America (EI),,1995,281.38266
South and Central America (EI),,2000,410.80075
South and Central America (EI),,2005,577.7621
South and Central America (EI),,2010,652.20416
South and Central America (EI),,2015,758.07086
South and Central America (EI),,2022,492.5678
