Entity,Code,Year,Gross national income per capita
Brazil,BRA,1990,10253.789
Brazil,BRA,1995,11087.609
Brazil,BRA,2000,11279.414
Brazil,BRA,2005,12212.2
Brazil,BRA,2010,14414.128
Brazil,BRA,2015,14780.057
Brazil,BRA,2021,14369.889
Chile,CHL,1990,9441.116
Chile,CHL,1995,12867.246
Chile,CHL,2000,15184.597
Chile,CHL,2005,17110.977
Chile,CHL,2010,19744.924
Chile,CHL,2015,23730.283
Chile,CHL,2021,24563.244
China,CHN,1990,1468.4989
China,CHN,1995,2361.3877
China,CHN,2000,3416.4814
China,CHN,2005,5299.36
China,CHN,2010,8846.376
China,CHN,2015,12552.186
China,CHN,2021,17504.4
Democratic Republic of Congo,COD,1990,1693.0884
Democratic Republic of Congo,COD,1995,910.56177
Democratic Republic of Congo,COD,2000,739.7183
Democratic Republic of Congo,COD,2005,748.5265
Democratic Republic of Congo,COD,2010,829.9032
Democratic Republic of Congo,COD,2015,982.6496
Democratic Republic of Congo,COD,2021,1076.0988
India,IND,1990,1790.4073
India,IND,1995,2082.0
India,IND,2000,2552.805
India,IND,2005,3222.757
India,IND,2010,4189.433
India,IND,2015,5401.491
India,IND,2021,6589.98
Niger,NER,1990,1132.3694
Niger,NER,1995,1019.8656
Niger,NER,2000,973.2432
Niger,NER,2005,1021.8535
Niger,NER,2010,1093.3143
Niger,NER,2015,1187.6455
Niger,NER,2021,1239.867
Nigeria,NGA,1990,3067.3875
Nigeria,NGA,1995,2739.1216
Nigeria,NGA,2000,2655.9893
Nigeria,NGA,2005,3631.5015
Nigeria,NGA,2010,4635.558
Nigeria,NGA,2015,5356.223
Nigeria,NGA,2021,4790.2847
South Korea,KOR,1990,12641.316
South Korea,KOR,1995,18043.994
South Korea,KOR,2000,22801.045
South Korea,KOR,2005,28433.867
South Korea,KOR,2010,34443.543
South Korea,KOR,2015,38948.33
South Korea,KOR,2021,44500.934
United Kingdom,GBR,1990,30951.713
United Kingdom,GBR,1995,31384.668
United Kingdom,GBR,2000,37777.79
United Kingdom,GBR,2005,42785.242
United Kingdom,GBR,2010,41666.516
United Kingdom,GBR,2015,44136.35
United Kingdom,GBR,2021,45224.766
United States,USA,1990,39472.3
United States,USA,1995,42183.133
United States,USA,2000,50420.867
United States,USA,2005,54305.125
United States,USA,2010,54265.336
United States,USA,2015,59682.88
United States,USA,2021,64765.215
