Entity,Code,Year,Gas (TWh growth)
Brazil,BRA,1966,0.08698082
Brazil,BRA,1970,0.055047512
Brazil,BRA,1980,1.4699602
Brazil,BRA,1990,-3.0939941
Brazil,BRA,2000,19.164597
Brazil,BRA,2010,69.08165
Brazil,BRA,2022,-84.70261
Canada,CAN,1966,20.54065
Canada,CAN,1970,32.842194
Canada,CAN,1980,-3.1432495
Canada,CAN,1990,-20.176758
Canada,CAN,2000,50.293213
Canada,CAN,2010,18.445679
Canada,CAN,2022,46.55139
Russia,RUS,1990,61.614258
Russia,RUS,2000,77.25195
Russia,RUS,2010,261.30908
Russia,RUS,2022,-665.6875
United Kingdom,GBR,1966,-0.2093401
United Kingdom,GBR,1970,56.207783
United Kingdom,GBR,1980,-1.3955994
United Kingdom,GBR,1990,21.713257
United Kingdom,GBR,2000,34.540283
United Kingdom,GBR,2010,72.69141
United Kingdom,GBR,2022,-58.464905
United States,USA,1966,323.5498
United States,USA,1970,294.55127
United States,USA,1980,-113.512695
United States,USA,1990,0.38867188
United States,USA,2000,241.27881
United States,USA,2010,305.6538
United States,USA,2022,454.08887
