Entity,Code,Year,Gas - % electricity
Russia,RUS,1985,46.90927
Russia,RUS,1990,47.27554
Russia,RUS,1995,41.1085
Russia,RUS,2000,41.685966
Russia,RUS,2005,45.635395
Russia,RUS,2010,49.60034
Russia,RUS,2015,49.097977
Russia,RUS,2020,41.779274
Russia,RUS,2022,44.526157
South Korea,KOR,1985,0.09222368
South Korea,KOR,1990,10.461326
South Korea,KOR,1995,14.354374
South Korea,KOR,2000,10.120729
South Korea,KOR,2005,16.521214
South Korea,KOR,2010,21.078524
South Korea,KOR,2015,22.17881
South Korea,KOR,2020,28.152262
South Korea,KOR,2022,28.487576
United Kingdom,GBR,1985,0.97152185
United Kingdom,GBR,1990,1.5735146
United Kingdom,GBR,1995,19.171078
United Kingdom,GBR,2000,39.272266
United Kingdom,GBR,2005,38.31806
United Kingdom,GBR,2010,45.974453
United Kingdom,GBR,2015,29.47443
United Kingdom,GBR,2020,35.70925
United Kingdom,GBR,2022,38.424976
United States,USA,1985,11.814175
United States,USA,1990,12.398703
United States,USA,1995,14.952231
United States,USA,2000,16.175009
United States,USA,2005,18.85903
United States,USA,2010,24.008615
United States,USA,2015,32.6514
United States,USA,2020,40.17061
United States,USA,2022,39.353985
World,OWID_WRL,1985,14.427469
World,OWID_WRL,1990,14.962873
World,OWID_WRL,1995,15.217454
World,OWID_WRL,2000,17.870209
World,OWID_WRL,2005,19.988752
World,OWID_WRL,2010,22.327694
World,OWID_WRL,2015,22.73597
World,OWID_WRL,2020,23.454227
World,OWID_WRL,2022,22.482134
