Entity,Code,Year,Deaths in ongoing wars (low estimate) - Conflict type: all
Americas,,1800,0
Americas,,1808,0
Americas,,1816,2460
Americas,,1824,960
Americas,,1832,0
Americas,,1840,688
Americas,,1848,6
Americas,,1856,1673
Americas,,1864,43299
Americas,,1872,0
Americas,,1880,2676
Americas,,1888,0
Americas,,1896,0
Americas,,1904,0
Americas,,1912,0
Americas,,1920,0
Americas,,1928,0
Americas,,1936,0
Americas,,1944,0
Americas,,1952,0
Americas,,1960,0
Americas,,1968,0
Americas,,1976,0
Americas,,1984,0
Americas,,1992,0
Americas,,2000,0
Americas,,2011,0
Asia and Oceania,,1800,0
Asia and Oceania,,1808,0
Asia and Oceania,,1816,467
Asia and Oceania,,1824,1867
Asia and Oceania,,1832,0
Asia and Oceania,,1840,2617
Asia and Oceania,,1848,2980
Asia and Oceania,,1856,9285
Asia and Oceania,,1864,11022
Asia and Oceania,,1872,1524
Asia and Oceania,,1880,2388
Asia and Oceania,,1888,0
Asia and Oceania,,1896,0
Asia and Oceania,,1904,40516
Asia and Oceania,,1912,900
Asia and Oceania,,1920,4279
Asia and Oceania,,1928,26249
Asia and Oceania,,1936,0
Asia and Oceania,,1944,565124
Asia and Oceania,,1952,135984
Asia and Oceania,,1960,0
Asia and Oceania,,1968,119111
Asia and Oceania,,1976,5000
Asia and Oceania,,1984,0
Asia and Oceania,,1992,926
Asia and Oceania,,2000,2592
Asia and Oceania,,2011,0
Europe,,1800,2063
Europe,,1808,29438
Europe,,1816,0
Europe,,1824,1000
Europe,,1832,0
Europe,,1840,0
Europe,,1848,17134
Europe,,1856,36501
Europe,,1864,3600
Europe,,1872,0
Europe,,1880,0
Europe,,1888,0
Europe,,1896,0
Europe,,1904,0
Europe,,1912,36084
Europe,,1920,152114
Europe,,1928,0
Europe,,1936,50075
Europe,,1944,3904276
Europe,,1952,0
Europe,,1960,0
Europe,,1968,0
Europe,,1976,0
Europe,,1984,0
Europe,,1992,21545
Europe,,2000,0
Europe,,2011,0
North Africa and the Middle East,,1800,0
North Africa and the Middle East,,1808,1221
North Africa and the Middle East,,1816,1680
North Africa and the Middle East,,1824,0
North Africa and the Middle East,,1832,2364
North Africa and the Middle East,,1840,1500
North Africa and the Middle East,,1848,0
North Africa and the Middle East,,1856,600
North Africa and the Middle East,,1864,0
North Africa and the Middle East,,1872,1368
North Africa and the Middle East,,1880,0
North Africa and the Middle East,,1888,8000
North Africa and the Middle East,,1896,6100
North Africa and the Middle East,,1904,0
North Africa and the Middle East,,1912,4810
North Africa and the Middle East,,1920,1642
North Africa and the Middle East,,1928,0
North Africa and the Middle East,,1936,9448
North Africa and the Middle East,,1944,0
North Africa and the Middle East,,1952,0
North Africa and the Middle East,,1960,0
North Africa and the Middle East,,1968,10500
North Africa and the Middle East,,1976,3000
North Africa and the Middle East,,1984,39754
North Africa and the Middle East,,1992,0
North Africa and the Middle East,,2000,17666
North Africa and the Middle East,,2011,9400
Sub-Saharan Africa,,1800,0
Sub-Saharan Africa,,1808,0
Sub-Saharan Africa,,1816,0
Sub-Saharan Africa,,1824,1364
Sub-Saharan Africa,,1832,0
Sub-Saharan Africa,,1840,0
Sub-Saharan Africa,,1848,0
Sub-Saharan Africa,,1856,0
Sub-Saharan Africa,,1864,2040
Sub-Saharan Africa,,1872,0
Sub-Saharan Africa,,1880,0
Sub-Saharan Africa,,1888,0
Sub-Saharan Africa,,1896,3876
Sub-Saharan Africa,,1904,0
Sub-Saharan Africa,,1912,0
Sub-Saharan Africa,,1920,0
Sub-Saharan Africa,,1928,0
Sub-Saharan Africa,,1936,0
Sub-Saharan Africa,,1944,0
Sub-Saharan Africa,,1952,0
Sub-Saharan Africa,,1960,0
Sub-Saharan Africa,,1968,1500
Sub-Saharan Africa,,1976,2131
Sub-Saharan Africa,,1984,2131
Sub-Saharan Africa,,1992,2131
Sub-Saharan Africa,,2000,5171
Sub-Saharan Africa,,2011,0
