Entity,Code,Year,"Current number of cases of alcohol use disorders per 100 people, in males aged age-standardized","Current number of cases of alcohol use disorders per 100 people, in females aged age-standardized",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,1.7351065,1.6206592,2873883.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,3.7438521,1.2885848,8879939.0,
Azerbaijan,AZE,2019,4.0961075,1.22572,10232761.0,
Bolivia,BOL,2019,1.1655073,0.7520473,11777318.0,
Brazil,BRA,2019,4.442614,1.3218539,211782880.0,
Bulgaria,BGR,2019,2.0150206,1.6387348,7052536.0,
Canada,CAN,2019,2.352835,1.2250149,37522584.0,
Chile,CHL,2019,3.5001178,1.8071338,19039484.0,
China,CHN,2019,1.9951798,0.38317198,1421864064.0,
Colombia,COL,2019,3.2600982,1.0303886,50187404.0,
Costa Rica,CRI,2019,2.9053614,0.8199373,5084527.0,
Czechia,CZE,2019,2.4655993,2.0533578,10536876.0,
Democratic Republic of Congo,COD,2019,1.4415959,0.62310994,89906896.0,
Dominican Republic,DOM,2019,1.7656147,0.8239877,10881886.0,
El Salvador,SLV,2019,6.737219,0.9689789,6280222.0,
Ethiopia,ETH,2019,4.5493255,0.6632692,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,3.1006815,1.4177207,5521539.0,
Germany,DEU,2019,2.8988502,1.1155024,83148144.0,
Greenland,GRL,2019,4.1904206,2.7528245,55955.0,
Guatemala,GTM,2019,5.630764,1.1732776,17106338.0,
Honduras,HND,2019,3.8168778,0.82685226,9958832.0,
Indonesia,IDN,2019,0.7375506,0.23265855,269582880.0,
Iran,IRN,2019,0.39942858,0.2152603,86564208.0,
Ireland,IRL,2019,4.4510202,2.0015926,4896021.0,
Kazakhstan,KAZ,2019,5.7935314,1.4940164,18754260.0,
Kenya,KEN,2019,0.7728695,0.668738,50951452.0,
Latvia,LVA,2019,3.1706579,1.2984384,1916552.0,
Mongolia,MNG,2019,7.02189,1.5558442,3232435.0,
Mozambique,MOZ,2019,2.6232212,0.7711124,30285602.0,
Namibia,NAM,2019,3.7983868,0.6485738,2446648.0,
Nepal,NPL,2019,2.4711113,0.11814231,28832500.0,
New Zealand,NZL,2019,4.1164265,2.168302,4959033.0,
Nicaragua,NIC,2019,4.490715,0.8477403,6663919.0,
Nigeria,NGA,2019,0.5394127,0.47586024,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,2.3936603,0.30720896,223293280.0,
Philippines,PHL,2019,1.2897735,0.26638895,110380800.0,
Poland,POL,2019,3.7908223,2.2629776,38493600.0,
Portugal,PRT,2019,5.2513404,0.6588288,10289921.0,
Romania,ROU,2019,2.2757115,1.816765,19524212.0,
Russia,RUS,2019,3.9389963,1.7151767,145742288.0,
Rwanda,RWA,2019,4.8326273,1.223707,12835029.0,
Scotland,,2019,5.5494967,2.2378383,,
Serbia,SRB,2019,2.4361076,1.6740056,7401056.0,
Singapore,SGP,2019,0.86153543,0.41942474,5866408.0,
Slovenia,SVN,2019,2.8775227,1.9806218,2112905.0,
Somalia,SOM,2019,1.7325178,0.65710014,15981312.0,
South Africa,ZAF,2019,3.2557697,0.59715354,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,3.5889795,1.0207335,51803832.0,
Suriname,SUR,2019,2.1305912,0.9327979,600305.0,
Tanzania,TZA,2019,2.1634324,0.73831666,59872584.0,
Ukraine,UKR,2019,3.4409058,1.4449855,44211100.0,
United Kingdom,GBR,2019,4.8502727,1.3828781,66778660.0,
United States,USA,2019,2.9241385,1.6964172,334319680.0,
Wales,,2019,6.3346043,1.890372,,
World,OWID_WRL,2019,2.0562673,0.6023681,7764951040.0,
