Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)
Comoros,COM,1990,9.12
Comoros,COM,1995,9.77
Comoros,COM,2000,9.06
Comoros,COM,2005,7.58
Comoros,COM,2010,6.52
Comoros,COM,2015,7.82
Comoros,COM,2019,7.29
Gambia,GMB,1990,8.66
Gambia,GMB,1995,9.39
Gambia,GMB,2000,9.46
Gambia,GMB,2005,10.47
Gambia,GMB,2010,9.54
Gambia,GMB,2015,9.24
Gambia,GMB,2019,9.99
India,IND,1990,20.16
India,IND,1995,19.6
India,IND,2000,20.74
India,IND,2005,18.22
India,IND,2010,16.19
India,IND,2015,13.86
India,IND,2019,13.8
Tunisia,TUN,1990,3.82
Tunisia,TUN,1995,4.01
Tunisia,TUN,2000,3.96
Tunisia,TUN,2005,3.84
Tunisia,TUN,2010,3.62
Tunisia,TUN,2015,3.39
Tunisia,TUN,2019,3.3
United Kingdom,GBR,1990,9.5
United Kingdom,GBR,1995,9.23
United Kingdom,GBR,2000,8.76
United Kingdom,GBR,2005,7.54
United Kingdom,GBR,2010,7.45
United Kingdom,GBR,2015,7.11
United Kingdom,GBR,2019,7.1
United States,USA,1990,12.1
United States,USA,1995,11.85
United States,USA,2000,10.88
United States,USA,2005,11.16
United States,USA,2010,11.67
United States,USA,2015,12.37
United States,USA,2019,11.67
World,OWID_WRL,1990,15.37
World,OWID_WRL,1995,15.62
World,OWID_WRL,2000,14.43
World,OWID_WRL,2005,13.0
World,OWID_WRL,2010,11.24
World,OWID_WRL,2015,9.78
World,OWID_WRL,2019,9.39
