Entity,Code,Year,"Deaths that are from all causes attributed to air pollution per 100,000 people, in both sexes aged age-standardized"
Antigua and Barbuda,ATG,1990,47.028
Antigua and Barbuda,ATG,1995,49.9646
Antigua and Barbuda,ATG,2000,41.371265
Antigua and Barbuda,ATG,2005,34.375484
Antigua and Barbuda,ATG,2010,34.48359
Antigua and Barbuda,ATG,2015,35.57198
Antigua and Barbuda,ATG,2019,33.3545
Mexico,MEX,1990,86.52216
Mexico,MEX,1995,78.946655
Mexico,MEX,2000,64.68565
Mexico,MEX,2005,53.072803
Mexico,MEX,2010,48.536007
Mexico,MEX,2015,47.723446
Mexico,MEX,2019,43.914207
Ukraine,UKR,1990,99.175064
Ukraine,UKR,1995,118.84807
Ukraine,UKR,2000,102.98503
Ukraine,UKR,2005,99.61398
Ukraine,UKR,2010,81.05542
Ukraine,UKR,2015,72.73109
Ukraine,UKR,2019,60.948162
