Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sanitation, in both sexes aged all ages"
East Asia & Pacific (WB),,1990,206690.05
East Asia & Pacific (WB),,1995,148741.05
East Asia & Pacific (WB),,2000,101748.25
East Asia & Pacific (WB),,2005,71455.3
East Asia & Pacific (WB),,2010,49545.332
East Asia & Pacific (WB),,2015,35662.04
East Asia & Pacific (WB),,2019,28578.979
Europe & Central Asia (WB),,1990,10934.207
Europe & Central Asia (WB),,1995,9182.107
Europe & Central Asia (WB),,2000,5569.631
Europe & Central Asia (WB),,2005,2669.8596
Europe & Central Asia (WB),,2010,1941.1069
Europe & Central Asia (WB),,2015,1564.7561
Europe & Central Asia (WB),,2019,1303.3934
Latin America & Caribbean (WB),,1990,61138.375
Latin America & Caribbean (WB),,1995,42523.47
Latin America & Caribbean (WB),,2000,26175.56
Latin America & Caribbean (WB),,2005,18019.924
Latin America & Caribbean (WB),,2010,13780.017
Latin America & Caribbean (WB),,2015,10792.103
Latin America & Caribbean (WB),,2019,9527.473
Middle East & North Africa (WB),,1990,50221.74
Middle East & North Africa (WB),,1995,34660.062
Middle East & North Africa (WB),,2000,26722.826
Middle East & North Africa (WB),,2005,20244.95
Middle East & North Africa (WB),,2010,14808.054
Middle East & North Africa (WB),,2015,9010.577
Middle East & North Africa (WB),,2019,6737.1177
North America (WB),,1990,92.567245
North America (WB),,1995,134.88904
North America (WB),,2000,339.8172
North America (WB),,2005,727.8449
North America (WB),,2010,855.5526
North America (WB),,2015,779.8136
North America (WB),,2019,752.2524
South Asia (WB),,1990,880635.8
South Asia (WB),,1995,801063.2
South Asia (WB),,2000,715587.2
South Asia (WB),,2005,596783.7
South Asia (WB),,2010,537990.5
South Asia (WB),,2015,432064.28
South Asia (WB),,2019,346430.97
Sub-Saharan Africa (WB),,1990,625890.2
Sub-Saharan Africa (WB),,1995,640975.3
Sub-Saharan Africa (WB),,2000,619963.25
Sub-Saharan Africa (WB),,2005,547942.75
Sub-Saharan Africa (WB),,2010,492800.78
Sub-Saharan Africa (WB),,2015,418601.62
Sub-Saharan Africa (WB),,2019,362905.6
