Entity,Code,Year,"Meat, poultry | 00001808 || Production | 005510 || tonnes"
Brazil,BRA,1961,129711.0
Brazil,BRA,1970,378400.0
Brazil,BRA,1980,1396540.0
Brazil,BRA,1990,2421565.0
Brazil,BRA,2000,6124750.0
Brazil,BRA,2010,11185226.0
Brazil,BRA,2021,15215995.0
China,CHN,1961,622000.0
China,CHN,1970,855500.0
China,CHN,1980,1355500.0
China,CHN,1990,3159000.0
China,CHN,2000,11890000.0
China,CHN,2010,16561000.0
China,CHN,2021,23800000.0
United States,USA,1961,3305175.0
United States,USA,1970,4644808.0
United States,USA,1980,6487028.0
United States,USA,1990,10758618.0
United States,USA,2000,16575480.0
United States,USA,2010,19583418.0
United States,USA,2021,23222928.0
