Entity,Code,Year,Share of the population practicing open defecation
Bangladesh,BGD,2000,16.852358
Bangladesh,BGD,2005,11.943557
Bangladesh,BGD,2010,7.284877
Bangladesh,BGD,2015,2.9405398
Bangladesh,BGD,2020,0.0
Bangladesh,BGD,2022,0.0
India,IND,2000,73.325356
India,IND,2005,58.70221
India,IND,2010,44.37156
India,IND,2015,30.367552
India,IND,2020,16.472765
India,IND,2022,11.104357
Madagascar,MDG,2000,41.670387
Madagascar,MDG,2005,40.153904
Madagascar,MDG,2010,38.234844
Madagascar,MDG,2015,36.309578
Madagascar,MDG,2020,34.392834
Madagascar,MDG,2022,33.632324
Malawi,MWI,2000,14.855179
Malawi,MWI,2005,12.033108
Malawi,MWI,2010,9.232796
Malawi,MWI,2015,6.444506
Malawi,MWI,2020,3.6905913
Malawi,MWI,2022,2.6051915
Myanmar,MMR,2000,10.111873
Myanmar,MMR,2005,9.3220215
Myanmar,MMR,2010,8.543996
Myanmar,MMR,2015,7.776648
Myanmar,MMR,2020,6.99607
Myanmar,MMR,2022,6.8094277
