Entity,Code,Year,9.c.1 - Proportion of population covered by at least a 4G mobile network (%) - IT_MOB_4GNTWK
Asia (UN),,2015,39.97
Asia (UN),,2016,70.65
Asia (UN),,2017,84.74
Asia (UN),,2018,89.07
Asia (UN),,2019,91.25
Asia (UN),,2020,93.28
Asia (UN),,2021,93.84
Europe (UN),,2015,76.32
Europe (UN),,2016,81.16
Europe (UN),,2017,84.29
Europe (UN),,2018,86.69
Europe (UN),,2019,95.37
Europe (UN),,2020,96.4
Europe (UN),,2021,97.07
Latin America and the Caribbean (UN),,2015,57.79
Latin America and the Caribbean (UN),,2016,65.37
Latin America and the Caribbean (UN),,2017,71.69
Latin America and the Caribbean (UN),,2018,79.64
Latin America and the Caribbean (UN),,2019,83.34
Latin America and the Caribbean (UN),,2020,85.13
Latin America and the Caribbean (UN),,2021,86.46
Latin America and the Caribbean (UN),,2022,88.1
Northern Africa (UN),,2015,6.91
Northern Africa (UN),,2016,19.64
Northern Africa (UN),,2017,56.78
Northern Africa (UN),,2018,73.46
Northern Africa (UN),,2019,76.4
Northern Africa (UN),,2020,80.65
Northern Africa (UN),,2021,82.09
Northern America (UN),,2015,99.38
Northern America (UN),,2016,99.47
Northern America (UN),,2017,99.71
Northern America (UN),,2018,99.84
Northern America (UN),,2019,99.86
Northern America (UN),,2020,99.86
Northern America (UN),,2021,99.85
Oceania (UN),,2015,74.88
Oceania (UN),,2016,77.97
Oceania (UN),,2017,82.7
Oceania (UN),,2018,84.79
Oceania (UN),,2019,85.11
Oceania (UN),,2020,85.47
Oceania (UN),,2021,85.28
Oceania (UN),,2022,86.8
Sub-Saharan Africa (UN),,2015,10.96
Sub-Saharan Africa (UN),,2016,15.0
Sub-Saharan Africa (UN),,2017,18.03
Sub-Saharan Africa (UN),,2018,24.31
Sub-Saharan Africa (UN),,2019,33.49
Sub-Saharan Africa (UN),,2020,39.99
Sub-Saharan Africa (UN),,2021,47.13
Sub-Saharan Africa (UN),,2022,49.3
World,OWID_WRL,2015,43.4
World,OWID_WRL,2016,64.1
World,OWID_WRL,2017,75.1
World,OWID_WRL,2018,79.9
World,OWID_WRL,2019,82.8
World,OWID_WRL,2020,85.1
World,OWID_WRL,2021,86.5
World,OWID_WRL,2022,87.7
