Entity,Code,Year,"Average effective age of retirement, men (OECD)"
Brazil,BRA,1970,72.1
Brazil,BRA,1980,69.7
Brazil,BRA,1990,68.8
Brazil,BRA,2000,66.7
Brazil,BRA,2010,68.3
Brazil,BRA,2018,66.59999847
Germany,DEU,1970,66.5
Germany,DEU,1980,63.1
Germany,DEU,1990,62.2
Germany,DEU,2000,61.0
Germany,DEU,2010,62.0
Germany,DEU,2018,64.0
Mexico,MEX,1980,78.6
Mexico,MEX,1990,76.4
Mexico,MEX,2000,74.5
Mexico,MEX,2010,71.4
Mexico,MEX,2018,71.30000305
United Kingdom,GBR,1970,67.7
United Kingdom,GBR,1980,66.0
United Kingdom,GBR,1990,62.8
United Kingdom,GBR,2000,62.5
United Kingdom,GBR,2010,64.1
United Kingdom,GBR,2018,64.69999695
United States,USA,1970,68.4
United States,USA,1980,66.4
United States,USA,1990,64.7
United States,USA,2000,64.8
United States,USA,2010,65.6
United States,USA,2018,67.90000153
