Entity,Code,Year,"Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)",Population,World Region according to the World Bank
Argentina,ARG,2022,17.848,13.994,45510324.0,
Belgium,BEL,2022,5.544,7.539,11655923.0,
Bolivia,BOL,2022,14.288,5.665,12224114.0,
Botswana,BWA,2022,40.39,33.705,2630300.0,
Czechia,CZE,2022,9.385,5.877,10493990.0,
Estonia,EST,2022,7.842,13.607,1326064.0,
Finland,FIN,2022,6.702,8.477,5540745.0,
France,FRA,2022,10.248,12.823,64626624.0,
Germany,DEU,2022,7.299,6.269,83369840.0,
High-income countries,,2022,11.608099,10.5703335,1224121770.0,
Hungary,HUN,2022,11.414,8.45,9967304.0,
Iceland,ISL,2022,2.795,5.094,372903.0,
India,IND,2022,41.835,11.16,1417173120.0,
Indonesia,IDN,2022,27.189,17.675,275501344.0,
Iran,IRN,2022,37.752,17.189,88550568.0,
Italy,ITA,2022,15.402,16.283,59037472.0,
Laos,LAO,2022,24.614,20.392,7529477.0,
Latvia,LVA,2022,7.567,9.528,1850654.0,
Lithuania,LTU,2022,9.121,10.162,2750058.0,
Malta,MLT,2022,9.128,13.255,533293.0,
Mexico,MEX,2022,25.278,9.277,127504120.0,
Netherlands,NLD,2022,2.84,2.802,17564020.0,
North America,,2022,,,600323657.0,
North Macedonia,MKD,2022,18.778,18.128,2093606.0,
Poland,POL,2022,8.576,7.496,39857144.0,
Portugal,PRT,2022,6.276,6.854,10270857.0,
Romania,ROU,2022,20.923,14.295,19659270.0,
Rwanda,RWA,2022,29.893,27.261,13776702.0,
Saint Lucia,LCA,2022,23.823,30.537,179872.0,
Saudi Arabia,SAU,2022,23.611,13.504,36408824.0,
South Africa,ZAF,2022,34.536,31.313,59893884.0,
Spain,ESP,2022,10.364,10.595,47558632.0,
Sweden,SWE,2022,4.803,5.043,10549349.0,
Thailand,THA,2022,16.374,10.336,71697024.0,
Turkey,TUR,2022,32.314,16.359,85341248.0,
Tuvalu,TUV,2022,71.522,70.743,11335.0,
United Arab Emirates,ARE,2022,17.622,5.579,9441138.0,
