Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Combined - average years of education for 15-64 years female youth and adults,Population (historical estimates),Continent
Afghanistan,AFG,2020,4.7502,4.81,38972236.0,
Africa,,2020,,6.330153,1360677453.0,
Asia,,2020,,8.251322,4663086623.0,
Austria,AUT,2020,1.4397,10.22,8907780.0,
Benin,BEN,2020,5.0479,5.39,12643121.0,
Brazil,BRA,2020,1.649,8.31,213196304.0,
Brunei,BRN,2020,1.7962,9.25,441736.0,
Cameroon,CMR,2020,4.5432,6.93,26491090.0,
Chile,CHL,2020,1.5371,10.9,19300318.0,
China,CHN,2020,1.2805,8.73,1424929792.0,
Congo,COG,2020,4.234,6.26,5702183.0,
Cote d'Ivoire,CIV,2020,4.4718,4.98,26811792.0,
Democratic Republic of Congo,COD,2020,6.2057,4.01,92853168.0,
Egypt,EGY,2020,2.9602,7.62,107465128.0,
Eswatini,SWZ,2020,2.8896,6.63,1180663.0,
Europe,,2020,,11.947029,747462669.0,
Gabon,GAB,2020,3.5476,10.81,2292583.0,
Guatemala,GTM,2020,2.4836,6.06,17362716.0,
Haiti,HTI,2020,2.8693,5.17,11306804.0,
India,IND,2020,2.0514,7.15,1396387072.0,
Indonesia,IDN,2020,2.194,8.92,271857984.0,
Iraq,IRQ,2020,3.5512,7.74,42556988.0,
Japan,JPN,2020,1.2936,13.08,125244760.0,
Jordan,JOR,2020,2.8728,10.73,10928723.0,
Kazakhstan,KAZ,2020,3.1403,11.91,18979250.0,
Liberia,LBR,2020,4.1736,5.08,5087591.0,
Mexico,MEX,2020,1.905,10.18,125998296.0,
Myanmar,MMR,2020,2.1739,6.15,53423200.0,
New Zealand,NZL,2020,1.7902,11.08,5061130.0,
Niger,NER,2020,6.8924,2.59,24333644.0,
North America,,2020,,11.932982,594263186.0,
Oceania,,2020,,10.729693,43933757.0,
Pakistan,PAK,2020,3.5548,5.71,227196736.0,
Papua New Guinea,PNG,2020,3.2743,4.4,9749641.0,
Philippines,PHL,2020,2.7774,9.63,112190984.0,
Russia,RUS,2020,1.4928,11.62,145617328.0,
South Africa,ZAF,2020,2.4008,10.63,58801928.0,
South America,,2020,,9.108767,431530105.0,
South Korea,KOR,2020,0.8872,13.65,51844688.0,
Spain,ESP,2020,1.2365,11.69,47363808.0,
Sudan,SDN,2020,4.5419,4.2,44440484.0,
Tajikistan,TJK,2020,3.2367,10.68,9543211.0,
Tanzania,TZA,2020,4.7948,6.75,61704520.0,
Thailand,THA,2020,1.3414,9.36,71475664.0,
Ukraine,UKR,2020,1.217,10.91,43909664.0,
United States,USA,2020,1.6428,13.42,335942016.0,
Vietnam,VNM,2020,1.9545,8.16,96648680.0,
World,OWID_WRL,2020,2.3485,8.610346,7840952832.0,
Yemen,YEM,2020,3.8861,4.8,32284044.0,
Zambia,ZMB,2020,4.3789,8.26,18927716.0,
Zimbabwe,ZWE,2020,3.5451,8.32,15669663.0,
