Entity,Code,Year,"1.a.1 - Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) - DC_ODA_POVLG"
Haiti,HTI,2000,0.98
Haiti,HTI,2005,0.78
Haiti,HTI,2010,1.3
Haiti,HTI,2015,0.97
Haiti,HTI,2021,0.77
Kazakhstan,KAZ,2000,0.06
Kazakhstan,KAZ,2005,0.03
Kazakhstan,KAZ,2010,0.02
Kazakhstan,KAZ,2015,0.0
Kazakhstan,KAZ,2021,0.01
Papua New Guinea,PNG,2000,3.24
Papua New Guinea,PNG,2005,1.43
Papua New Guinea,PNG,2010,0.56
Papua New Guinea,PNG,2015,0.33
Papua New Guinea,PNG,2021,0.94
Philippines,PHL,2000,0.03
Philippines,PHL,2005,0.04
Philippines,PHL,2010,0.07
Philippines,PHL,2015,0.06
Philippines,PHL,2021,0.05
Seychelles,SYC,2010,0.08
Seychelles,SYC,2015,0.03
South Sudan,SSD,2015,3.09
