Entity,Code,Year,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),Population (historical estimates),Continent
Algeria,DZA,2022,71.0,77.0,,
Angola,AGO,2022,25.0,42.0,,
Argentina,ARG,2022,93.0,81.0,,
Australia,AUS,2022,91.0,94.0,,
Brazil,BRA,2022,58.0,77.0,,
Cameroon,CMR,2022,44.0,68.0,,
Chad,TCD,2022,2.0,60.0,,
Chile,CHL,2022,53.0,96.0,,
China,CHN,2022,99.0,99.0,,
Congo,COG,2022,34.0,78.0,,
Cote d'Ivoire,CIV,2022,20.0,76.0,,
Djibouti,DJI,2022,48.0,59.0,,
Ecuador,ECU,2022,60.0,70.0,,
Equatorial Guinea,GNQ,2022,13.0,53.0,,
Ethiopia,ETH,2022,48.0,65.0,,
Fiji,FJI,2022,78.0,99.0,,
Guinea,GIN,2022,3.0,47.0,,
Guinea-Bissau,GNB,2022,1.0,74.0,,
Haiti,HTI,2022,41.0,51.0,,
Indonesia,IDN,2022,67.0,85.0,,
Kenya,KEN,2022,56.0,90.0,,
Libya,LBY,2022,72.0,73.0,,
Madagascar,MDG,2022,32.0,57.0,,
Mali,MLI,2022,44.0,77.0,,
Micronesia (country),FSM,2022,38.0,69.0,,
Mozambique,MOZ,2022,70.0,61.0,,
Niger,NER,2022,42.0,84.0,,
Nigeria,NGA,2022,38.0,62.0,,
North Korea,PRK,2022,0.0,0.0,,
Pakistan,PAK,2022,79.0,85.0,,
Paraguay,PRY,2022,53.0,69.0,,
Peru,PER,2022,54.0,82.0,,
Philippines,PHL,2022,64.0,72.0,,
Rwanda,RWA,2022,82.0,98.0,,
Somalia,SOM,2022,8.0,42.0,,
Sudan,SDN,2022,63.0,84.0,,
Syria,SYR,2022,38.0,46.0,,
Tanzania,TZA,2022,76.0,88.0,,
Thailand,THA,2022,87.0,97.0,,
Uganda,UGA,2022,49.0,89.0,,
