Entity,Code,Year,Population (historical estimates),Continent
Africa,,2021,1393676724.0,
Asia,,2021,4693332132.0,
Australia,AUS,2021,25921094.0,
Barbados,BRB,2021,281204.0,
Bonaire Sint Eustatius and Saba,BES,2021,26730.0,
China,CHN,2021,1425893504.0,
Congo,COG,2021,5835814.0,
Ecuador,ECU,2021,17797736.0,
Europe,,2021,746417727.0,
Fiji,FJI,2021,924615.0,
Germany,DEU,2021,83408560.0,
Hong Kong,HKG,2021,7494580.0,
Jamaica,JAM,2021,2827701.0,
Latvia,LVA,2021,1873926.0,
Maldives,MDV,2021,521469.0,
North America,,2021,597123384.0,
Northern Mariana Islands,MNP,2021,49503.0,
Oceania,,2021,44492065.0,
Oman,OMN,2021,4520474.0,
Portugal,PRT,2021,10290109.0,
South America,,2021,434254167.0,
Tokelau,TKL,2021,1869.0,
Tonga,TON,2021,106034.0,
Tunisia,TUN,2021,12262949.0,
Uganda,UGA,2021,45853780.0,
Uzbekistan,UZB,2021,34081452.0,
