Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages"
Angola,AGO,1990,1233.4043
Angola,AGO,1995,1515.1654
Angola,AGO,2000,2037.4012
Angola,AGO,2005,2396.6511
Angola,AGO,2010,3080.0254
Angola,AGO,2015,4336.7686
Angola,AGO,2019,5562.7783
Australia,AUS,1990,2360.6921
Australia,AUS,1995,2234.3457
Australia,AUS,2000,2044.1205
Australia,AUS,2005,1688.145
Australia,AUS,2010,1601.1385
Australia,AUS,2015,1669.852
Australia,AUS,2019,1781.4751
El Salvador,SLV,1990,706.0124
El Salvador,SLV,1995,820.34125
El Salvador,SLV,2000,1079.4
El Salvador,SLV,2005,1162.0654
El Salvador,SLV,2010,1283.437
El Salvador,SLV,2015,1847.0175
El Salvador,SLV,2019,1901.1912
Venezuela,VEN,1990,4837.123
Venezuela,VEN,1995,5633.526
Venezuela,VEN,2000,6245.665
Venezuela,VEN,2005,7109.6143
Venezuela,VEN,2010,9104.382
Venezuela,VEN,2015,10178.064
Venezuela,VEN,2019,12383.936
