Entity,Code,Year,Inequality-adjusted Human Development Index,Human Development Index,Population,Continent
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Chad,TCD,2021,0.251,0.394,17179744.0,
China,CHN,2021,0.651,0.768,1425893504.0,
Comoros,COM,2021,0.31,0.558,821632.0,
Costa Rica,CRI,2021,0.664,0.809,5153959.0,
Egypt,EGY,2021,0.519,0.731,109262184.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,0.883,0.942,83408560.0,
Ghana,GHA,2021,0.458,0.632,32833036.0,
Hungary,HUN,2021,0.792,0.846,9709784.0,
India,IND,2021,0.475,0.633,1407563904.0,
Indonesia,IDN,2021,0.585,0.705,273753184.0,
Iraq,IRQ,2021,0.554,0.686,43533592.0,
Italy,ITA,2021,0.791,0.895,59240336.0,
Kyrgyzstan,KGZ,2021,0.627,0.692,6527742.0,
Mexico,MEX,2021,0.621,0.758,126705136.0,
Morocco,MAR,2021,0.504,0.683,37076588.0,
Namibia,NAM,2021,0.402,0.615,2530150.0,
Niger,NER,2021,0.292,0.4,25252722.0,
Nigeria,NGA,2021,0.341,0.535,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,0.38,0.544,231402112.0,
Russia,RUS,2021,0.751,0.822,145102752.0,
Saint Lucia,LCA,2021,0.559,0.715,179663.0,
South Africa,ZAF,2021,0.471,0.713,59392256.0,
South America,,2021,,,434254167.0,
Tanzania,TZA,2021,0.418,0.549,63588332.0,
Turkey,TUR,2021,0.717,0.838,84775408.0,
Tuvalu,TUV,2021,0.541,0.641,11229.0,
Ukraine,UKR,2021,0.726,0.773,43531424.0,
United States,USA,2021,0.819,0.921,336997632.0,
Yemen,YEM,2021,0.307,0.455,32981644.0,
