Entity,Code,Year,Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Total
Bhutan,BTN,2004,75.79
Bhutan,BTN,2006,76.070145
Bhutan,BTN,2008,76.2976
Bhutan,BTN,2010,79.18509
Bhutan,BTN,2012,81.97136
Bhutan,BTN,2014,84.651726
Bhutan,BTN,2016,87.229164
Bhutan,BTN,2018,89.707436
Bhutan,BTN,2020,92.090965
Bhutan,BTN,2022,93.20418
Democratic Republic of Congo,COD,2014,18.654589
Democratic Republic of Congo,COD,2016,18.823477
Democratic Republic of Congo,COD,2018,18.99626
Democratic Republic of Congo,COD,2020,19.172792
Democratic Republic of Congo,COD,2022,19.35247
Zambia,ZMB,2008,16.7139
Zambia,ZMB,2010,16.905735
Zambia,ZMB,2012,17.100494
Zambia,ZMB,2014,17.300907
Zambia,ZMB,2016,17.50678
Zambia,ZMB,2018,17.717916
Zambia,ZMB,2020,17.933928
Zambia,ZMB,2022,18.154615
