Entity,Code,Year,7.b.1 - Installed renewable electricity-generating capacity (watts per capita) - EG_EGY_RNEW - All renewables
Marshall Islands,MHL,2000,0.74
Marshall Islands,MHL,2005,1.29
Marshall Islands,MHL,2010,5.99
Marshall Islands,MHL,2015,20.42
Marshall Islands,MHL,2021,38.67
Pakistan,PAK,2000,33.53
Pakistan,PAK,2005,38.87
Pakistan,PAK,2010,36.06
Pakistan,PAK,2015,38.51
Pakistan,PAK,2021,55.69
South Africa,ZAF,2000,26.67
South Africa,ZAF,2005,19.33
South Africa,ZAF,2010,19.17
South Africa,ZAF,2015,61.37
South Africa,ZAF,2021,171.62
