Entity,Code,Year,"Number of one-year-olds not vaccinated with DTP containing vaccine, 3rd dose"
Benin,BEN,1985,142478
Benin,BEN,1990,51290
Benin,BEN,1995,76546
Benin,BEN,2000,56350
Benin,BEN,2005,88180
Benin,BEN,2010,79588
Benin,BEN,2015,99069
Benin,BEN,2021,105035
Cambodia,KHM,1985,246017
Cambodia,KHM,1990,220558
Cambodia,KHM,1995,228859
Cambodia,KHM,2000,128298
Cambodia,KHM,2005,56148
Cambodia,KHM,2010,32680
Cambodia,KHM,2015,26834
Cambodia,KHM,2021,25565
Trinidad and Tobago,TTO,1980,22454
Trinidad and Tobago,TTO,1985,8099
Trinidad and Tobago,TTO,1990,4941
Trinidad and Tobago,TTO,1995,2404
Trinidad and Tobago,TTO,2000,1954
Trinidad and Tobago,TTO,2005,986
Trinidad and Tobago,TTO,2010,2049
Trinidad and Tobago,TTO,2015,801
Trinidad and Tobago,TTO,2021,1089
