Entity,Code,Year,Seed cotton | 00000328 || Yield | 005419 || tonnes per hectare
Bangladesh,BGD,1961,0.5794
Bangladesh,BGD,1970,0.49319997
Bangladesh,BGD,1980,0.68659997
Bangladesh,BGD,1990,2.5375
Bangladesh,BGD,2000,2.5019
Bangladesh,BGD,2010,3.0974
Bangladesh,BGD,2021,3.3686
China,CHN,1961,0.62079996
China,CHN,1970,1.3684
China,CHN,1980,1.6523
China,CHN,1990,2.4199998
China,CHN,2000,3.2791
China,CHN,2010,3.6934998
China,CHN,2021,5.7349
India,IND,1961,0.3579
India,IND,1970,0.3918
India,IND,1980,0.5164
India,IND,1990,0.70269996
India,IND,2000,0.5979
India,IND,2010,1.594
India,IND,2021,1.2765
Sri Lanka,LKA,1961,0.9881
Sri Lanka,LKA,1970,1.0479
Sri Lanka,LKA,1980,4.2106
Sri Lanka,LKA,1990,2.0
