Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict
Bahrain,BHR,1989,0
Bahrain,BHR,1995,0
Bahrain,BHR,2000,0
Bahrain,BHR,2005,0
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bahrain,BHR,2020,0
Bahrain,BHR,2022,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,2000,74
Bangladesh,BGD,2005,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2015,0
Bangladesh,BGD,2020,0
Bangladesh,BGD,2022,0
Guatemala,GTM,1989,0
Guatemala,GTM,1995,0
Guatemala,GTM,2000,0
Guatemala,GTM,2005,56
Guatemala,GTM,2010,0
Guatemala,GTM,2015,0
Guatemala,GTM,2020,0
Guatemala,GTM,2022,0
Guinea,GIN,1989,0
Guinea,GIN,1995,0
Guinea,GIN,2000,31
Guinea,GIN,2005,0
Guinea,GIN,2010,0
Guinea,GIN,2015,0
Guinea,GIN,2020,30
Guinea,GIN,2022,0
Kuwait,KWT,1989,0
Kuwait,KWT,1995,0
Kuwait,KWT,2000,0
Kuwait,KWT,2005,0
Kuwait,KWT,2010,0
Kuwait,KWT,2015,0
Kuwait,KWT,2020,0
Kuwait,KWT,2022,0
Vanuatu,VUT,1989,0
Vanuatu,VUT,1995,0
Vanuatu,VUT,2000,0
Vanuatu,VUT,2005,0
Vanuatu,VUT,2010,0
Vanuatu,VUT,2015,0
Vanuatu,VUT,2020,0
Vanuatu,VUT,2022,0
