Entity,Code,Year,Experience Calmness Yesterday - Dimension: (Gender?) Male - Answer: Yes,Experience Calmness Yesterday - Dimension: (Gender?) Female - Answer: Yes,Population,Continent
Africa,,2020,,,1360677453.0,
Albania,ALB,2020,72.09998,70.65603,2866850.0,
Asia,,2020,,,4663086623.0,
Australia,AUS,2020,76.91257,75.6447,25670052.0,
Austria,AUT,2020,66.67294,77.21758,8907780.0,
Bahrain,BHR,2020,76.142166,73.25713,1477478.0,
Belgium,BEL,2020,62.719364,60.668724,11561716.0,
Bolivia,BOL,2020,85.112366,78.59376,11936169.0,
Canada,CAN,2020,88.025444,78.51256,37888704.0,
China,CHN,2020,78.1949,78.96678,1424929792.0,
Croatia,HRV,2020,88.51584,83.04506,4096872.0,
Cyprus,CYP,2020,80.22698,74.271385,1237540.0,
Denmark,DNK,2020,83.37177,83.416245,5825638.0,
Egypt,EGY,2020,73.23092,63.607235,107465128.0,
Europe,,2020,,,747462669.0,
Finland,FIN,2020,90.96302,88.23135,5529468.0,
France,FRA,2020,73.85512,72.010895,64480052.0,
Iceland,ISL,2020,80.49885,78.82038,366682.0,
Iran,IRN,2020,59.590797,60.22161,87290192.0,
Ireland,IRL,2020,73.28089,66.98535,4946123.0,
Italy,ITA,2020,68.92279,72.892265,59500576.0,
Japan,JPN,2020,81.71187,82.12305,125244760.0,
Malta,MLT,2020,80.18083,70.155754,515364.0,
Morocco,MAR,2020,76.36679,70.92438,36688768.0,
Netherlands,NLD,2020,86.81618,80.835266,17434562.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Portugal,PRT,2020,92.33462,84.505424,10298186.0,
Russia,RUS,2020,81.31631,75.87185,145617328.0,
Slovakia,SVK,2020,86.53127,86.043945,5456681.0,
Slovenia,SVN,2020,85.117714,83.332214,2117648.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,65.45257,63.96778,47363808.0,
Taiwan,TWN,2020,75.2972,82.873726,23821468.0,
Tunisia,TUN,2020,69.78787,74.34214,12161720.0,
Turkey,TUR,2020,70.544945,70.64852,84135432.0,
United Kingdom,GBR,2020,66.69645,70.54815,67059472.0,
United States,USA,2020,83.92964,74.41037,335942016.0,
World,OWID_WRL,2020,78.30582,75.99721,7840952832.0,
