Entity,Code,Year,Number of new conflicts - Conflict type: one-sided violence,Number of new conflicts - Conflict type: extrasystemic,Number of new conflicts - Conflict type: non-state conflict,Number of new conflicts - Conflict type: intrastate,Number of new conflicts - Conflict type: interstate
World,OWID_WRL,1990,21,0,10,15,1
World,OWID_WRL,1992,12,0,25,12,0
World,OWID_WRL,1994,11,0,18,4,0
World,OWID_WRL,1996,12,0,14,3,1
World,OWID_WRL,1998,8,0,21,3,1
World,OWID_WRL,2000,7,0,33,1,0
World,OWID_WRL,2002,16,0,24,1,0
World,OWID_WRL,2004,14,0,22,3,0
World,OWID_WRL,2006,3,0,19,0,0
World,OWID_WRL,2008,6,0,24,2,1
World,OWID_WRL,2010,8,0,17,1,0
World,OWID_WRL,2012,9,0,28,2,1
World,OWID_WRL,2014,7,0,53,5,0
World,OWID_WRL,2016,6,0,34,6,0
World,OWID_WRL,2017,8,0,46,3,0
World,OWID_WRL,2018,11,0,43,3,1
World,OWID_WRL,2020,12,0,37,1,1
World,OWID_WRL,2022,12,0,41,3,1
