Entity,Code,Year,soccons_polch_vdem_owid,soccons_polch_vdem_low_owid,soccons_polch_vdem_high_owid
Argentina,ARG,1789,-1.988,-2.76,-1.209
Argentina,ARG,1850,-1.462,-2.18,-0.736
Argentina,ARG,1900,0.341,0.088,0.595
Argentina,ARG,1950,0.375,0.117,0.663
Argentina,ARG,2000,2.632,1.882,3.299
Argentina,ARG,2022,1.741,1.318,2.227
Australia,AUS,1789,-1.068,-1.648,-0.335
Australia,AUS,1850,-0.298,-0.889,0.309
Australia,AUS,1900,2.244,1.726,2.689
Australia,AUS,1950,2.841,2.323,3.249
Australia,AUS,2000,2.841,2.323,3.249
Australia,AUS,2022,2.683,2.237,3.109
Botswana,BWA,1900,-1.246,-1.768,-0.637
Botswana,BWA,1950,-1.246,-1.768,-0.637
Botswana,BWA,2000,1.479,1.116,1.765
Botswana,BWA,2022,0.617,0.128,1.148
China,CHN,1789,-1.76,-2.673,-0.839
China,CHN,1850,-1.542,-2.348,-0.447
China,CHN,1900,-2.243,-2.727,-1.668
China,CHN,1950,-0.902,-1.298,-0.534
China,CHN,2000,-0.184,-0.573,0.171
China,CHN,2022,-0.117,-0.558,0.37
