Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Australia,AUS,2022,54286.04,0.0,9172.805
Brazil,BRA,2022,8699.518,169.1658,8431.066
Canada,CAN,2022,65239.92,5636.829,31283.535
China,CHN,2022,25344.26,733.05255,4974.1704
France,FRA,2022,19371.66,11409.492,5270.6436
India,IND,2022,6318.812,81.54943,743.044
Japan,JPN,2022,33936.066,1044.9875,5003.856
South Africa,ZAF,2022,21062.77,421.88177,866.2472
Sweden,SWE,2022,15754.809,12223.56,31948.436
United Kingdom,GBR,2022,22509.117,1768.5579,5820.2104
United States,USA,2022,63835.86,6006.1494,8912.268
World,OWID_WRL,2022,17208.133,840.40765,2990.3892
