Entity,Code,Year,Standard deviation of life satisfaction
Austria,AUT,1990,1.837633729
Belgium,BEL,1981,1.805026889
Belgium,BEL,1990,1.893914938
Canada,CAN,2000,1.882863998
Finland,FIN,2000,1.654675245
Finland,FIN,2005,1.746749282
France,FRA,1981,2.07516551
France,FRA,1990,1.976283073
Great Britain,,1981,1.893801689
Great Britain,,1990,1.93458271
Italy,ITA,1981,2.475100279
Italy,ITA,1990,2.064720869
Italy,ITA,2005,1.741591692
Netherlands,NLD,1990,1.575912118
Norway,NOR,1990,1.768822551
Portugal,PRT,1990,2.152057886
Spain,ESP,1981,2.007721186
Spain,ESP,1990,1.897121549
Spain,ESP,1995,1.968541145
Spain,ESP,2000,1.826200366
Spain,ESP,2007,1.502460957
