Entity,Code,Year,Terrorist attacks,Continent
Afghanistan,AFG,2021,1453.0,
Africa,,2021,1162.0,
Albania,ALB,2021,1.0,
Andorra,AND,2021,0.0,
Asia,,2021,3426.0,
Bhutan,BTN,2021,0.0,
Central African Republic,CAF,2021,18.0,
Cuba,CUB,2021,0.0,
Egypt,EGY,2021,11.0,
Eswatini,SWZ,2021,0.0,
Europe,,2021,121.0,
Guadeloupe,GLP,2021,0.0,
Ireland,IRL,2021,2.0,
Japan,JPN,2021,0.0,
Madagascar,MDG,2021,0.0,
Maldives,MDV,2021,1.0,
Mozambique,MOZ,2021,41.0,
Namibia,NAM,2021,0.0,
North America,,2021,59.0,
Oceania,,2021,1.0,
Qatar,QAT,2021,0.0,
Slovakia,SVK,2021,0.0,
South America,,2021,147.0,
Tunisia,TUN,2021,4.0,
Turkmenistan,TKM,2021,0.0,
