Entity,Code,Year,Deaths - Cause: Mental and substance use disorders - Sex: Both sexes - Age group: ALLAges
Brazil,BRA,2000,6978.45
Brazil,BRA,2005,8560.16
Brazil,BRA,2010,9762.27
Brazil,BRA,2015,9784.02
Brazil,BRA,2019,10429.3
China,CHN,2000,33030.9
China,CHN,2005,33296.75
China,CHN,2010,35987.27
China,CHN,2015,38998.13
China,CHN,2019,43324.8
Russia,RUS,2000,63696.14
Russia,RUS,2005,64930.81
Russia,RUS,2010,43917.67
Russia,RUS,2015,37844.15
Russia,RUS,2019,37103.43
United Kingdom,GBR,2000,3004.77
United Kingdom,GBR,2005,3449.99
United Kingdom,GBR,2010,3941.24
United Kingdom,GBR,2015,4341.97
United Kingdom,GBR,2019,4512.29
United States,USA,2000,22769.93
United States,USA,2005,32826.84
United States,USA,2010,43607.35
United States,USA,2015,72009.0
United States,USA,2019,90482.06
