Entity,Code,Year,Sugar cane | 00000156 || Production | 005510 || tonnes
Brazil,BRA,1961,59377390.0
Brazil,BRA,1970,79752940.0
Brazil,BRA,1980,148650560.0
Brazil,BRA,1990,262674140.0
Brazil,BRA,2000,326121020.0
Brazil,BRA,2010,717463800.0
Brazil,BRA,2021,715659200.0
China,CHN,1961,4268100.0
China,CHN,1970,13457000.0
China,CHN,1980,22807008.0
China,CHN,1990,57620144.0
China,CHN,2000,68279800.0
China,CHN,2010,110788700.0
China,CHN,2021,106664000.0
India,IND,1961,110001010.0
India,IND,1970,135024000.0
India,IND,1980,128833410.0
India,IND,1990,225569200.0
India,IND,2000,299323900.0
India,IND,2010,292301600.0
India,IND,2021,405399000.0
United States,USA,1961,17787104.0
United States,USA,1970,21768688.0
United States,USA,1980,24460288.0
United States,USA,1990,25524000.0
United States,USA,2000,36114000.0
United States,USA,2010,24820574.0
United States,USA,2021,29964310.0
