Entity,Code,Year,Estimated incidence of all forms of tuberculosis
Gambia,GMB,2000,187.0
Gambia,GMB,2005,190.0
Gambia,GMB,2010,179.0
Gambia,GMB,2015,173.0
Gambia,GMB,2020,153.0
Gambia,GMB,2022,145.0
Greece,GRC,2000,7.3
Greece,GRC,2005,7.2
Greece,GRC,2010,4.6
Greece,GRC,2015,4.7
Greece,GRC,2020,4.2
Greece,GRC,2022,2.2
Mauritania,MRT,2000,250.0
Mauritania,MRT,2005,181.0
Mauritania,MRT,2010,135.0
Mauritania,MRT,2015,107.0
Mauritania,MRT,2020,85.0
Mauritania,MRT,2022,78.0
Nicaragua,NIC,2000,59.0
Nicaragua,NIC,2005,44.0
Nicaragua,NIC,2010,53.0
Nicaragua,NIC,2015,50.0
Nicaragua,NIC,2020,42.0
Nicaragua,NIC,2022,43.0
North Korea,PRK,2000,513.0
North Korea,PRK,2005,513.0
North Korea,PRK,2010,513.0
North Korea,PRK,2015,513.0
North Korea,PRK,2020,513.0
North Korea,PRK,2022,513.0
South Africa,ZAF,2000,762.0
South Africa,ZAF,2005,1210.0
South Africa,ZAF,2010,1230.0
South Africa,ZAF,2015,988.0
South Africa,ZAF,2020,562.0
South Africa,ZAF,2022,468.0
