Entity,Code,Year,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in rivers and lakes
Americas (excl. USA),,2000,3986388.0
Americas (excl. USA),,2005,5589354.0
Americas (excl. USA),,2010,7583318.0
Americas (excl. USA),,2015,9900845.0
Americas (excl. USA),,2019,11886398.0
Asia (excl. China and India),,2000,5624027.0
Asia (excl. China and India),,2005,8181655.0
Asia (excl. China and India),,2010,11598776.0
Asia (excl. China and India),,2015,15957285.0
Asia (excl. China and India),,2019,20188924.0
China,CHN,2000,6677970.0
China,CHN,2005,10840010.0
China,CHN,2010,16095289.0
China,CHN,2015,21990220.0
China,CHN,2019,26455940.0
Europe,,2000,9576340.0
Europe,,2005,11592241.0
Europe,,2010,13484804.0
Europe,,2015,15068161.0
Europe,,2019,16057598.0
India,IND,2000,1041458.94
India,IND,2005,1878268.0
India,IND,2010,3062250.0
India,IND,2015,4729100.0
India,IND,2019,6414220.0
Middle East & North Africa,,2000,2432921.0
Middle East & North Africa,,2005,3338672.0
Middle East & North Africa,,2010,4452606.0
Middle East & North Africa,,2015,5775980.0
Middle East & North Africa,,2019,7021190.0
Oceania,,2000,62845.0
Oceania,,2005,97908.0
Oceania,,2010,145095.0
Oceania,,2015,204220.0
Oceania,,2019,259081.98
Sub-Saharan Africa,,2000,2416811.0
Sub-Saharan Africa,,2005,3790983.0
Sub-Saharan Africa,,2010,5682580.0
Sub-Saharan Africa,,2015,8093290.5
Sub-Saharan Africa,,2019,10300060.0
United States,USA,2000,6753940.0
United States,USA,2005,8031259.5
United States,USA,2010,9229680.0
United States,USA,2015,10232940.0
United States,USA,2019,10853590.0
