Entity,Code,Year,Population
Africa,,1800,81273172
Africa,,1850,112295370
Africa,,1900,138752199
Africa,,1950,227549730
Africa,,2000,818952374
Africa,,2050,2485135689
Africa,,2100,3924420729
Asia,,1800,683181540
Asia,,1850,825489039
Asia,,1900,931021418
Asia,,1950,1378554727
Asia,,2000,3735089775
Asia,,2050,5291555919
Asia,,2100,4672912210
Europe,,1800,195246412
Europe,,1850,279987544
Europe,,1900,406610221
Europe,,1950,550216093
Europe,,2000,727917165
Europe,,2050,704398730
Europe,,2100,587851450
North America,,1800,14745403
North America,,1850,39757631
North America,,1900,104231973
North America,,1950,217078493
North America,,2000,486364446
North America,,2050,679488449
North America,,2100,669632258
Oceania,,1800,1616167
Oceania,,1850,2019318
Oceania,,1900,5936615
Oceania,,1950,12578030
Oceania,,2000,31223133
Oceania,,2050,57834753
Oceania,,2100,68712147
South America,,1800,9277933
South America,,1850,19261474
South America,,1900,41330704
South America,,1950,113520774
South America,,2000,349634344
South America,,2050,491078697
South America,,2100,425793972
