Entity,Code,Year,17.13.1 - Broad money to total reserves ratio - FM_LBL_BMNY_IR_ZS
Belize,BLZ,1980,4.27
Belize,BLZ,1990,2.37
Belize,BLZ,2000,3.66
Belize,BLZ,2010,4.8
Belize,BLZ,2020,5.08
Brunei,BRN,2000,12.6
Brunei,BRN,2010,5.9
Brunei,BRN,2020,2.81
Eswatini,SWZ,1980,1.08
Eswatini,SWZ,1990,1.15
Eswatini,SWZ,2000,0.85
Eswatini,SWZ,2010,1.5
Eswatini,SWZ,2020,2.36
Rwanda,RWA,1964,4.93
Rwanda,RWA,1970,3.34
Rwanda,RWA,1980,0.9
Rwanda,RWA,1990,8.52
Rwanda,RWA,2000,1.54
Rwanda,RWA,2010,1.18
Rwanda,RWA,2020,1.48
