Entity,Code,Year,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",Combined - average years of education for 15-64 years female youth and adults,Population (historical estimates),Continent
Africa,,2020,,6.330153,1360677453.0,
Albania,ALB,2020,,10.15,2866850.0,
Algeria,DZA,2020,,8.16,43451668.0,
Argentina,ARG,2020,67.2,10.04,45036032.0,
Asia,,2020,,8.251322,4663086623.0,
Bangladesh,BGD,2020,,7.88,167420944.0,
Belgium,BEL,2020,,11.72,11561716.0,
Benin,BEN,2020,,5.39,12643121.0,
Cameroon,CMR,2020,,6.93,26491090.0,
Central African Republic,CAF,2020,,3.61,5343024.0,
Democratic Republic of Congo,COD,2020,,4.01,92853168.0,
Dominican Republic,DOM,2020,,9.52,10999668.0,
Europe,,2020,,11.947029,747462669.0,
Ghana,GHA,2020,,7.9,32180402.0,
Guyana,GUY,2020,28.6,8.89,797207.0,
India,IND,2020,56.5,7.15,1396387072.0,
Indonesia,IDN,2020,,8.92,271857984.0,
Iraq,IRQ,2020,,7.74,42556988.0,
Jordan,JOR,2020,,10.73,10928723.0,
Kazakhstan,KAZ,2020,,11.91,18979250.0,
Kenya,KEN,2020,61.2,6.36,51985780.0,
Lesotho,LSO,2020,,7.56,2254104.0,
Liberia,LBR,2020,23.9,5.08,5087591.0,
Malawi,MWI,2020,64.7,5.36,19377058.0,
Mexico,MEX,2020,,10.18,125998296.0,
Mongolia,MNG,2020,,10.32,3294340.0,
Nepal,NPL,2020,,5.86,29348626.0,
Niger,NER,2020,,2.59,24333644.0,
North America,,2020,,11.932982,594263186.0,
Oceania,,2020,,10.729693,43933757.0,
Pakistan,PAK,2020,,5.71,227196736.0,
Papua New Guinea,PNG,2020,,4.4,9749641.0,
Peru,PER,2020,55.0,9.74,33304768.0,
Philippines,PHL,2020,,9.63,112190984.0,
Rwanda,RWA,2020,58.4,5.3,13146367.0,
Saudi Arabia,SAU,2020,,9.75,35997108.0,
Senegal,SEN,2020,,3.89,16436120.0,
Serbia,SRB,2020,,11.82,7358010.0,
Sierra Leone,SLE,2020,,4.42,8233973.0,
South America,,2020,,9.108767,431530105.0,
Spain,ESP,2020,,11.69,47363808.0,
Thailand,THA,2020,,9.36,71475664.0,
Togo,TGO,2020,,6.53,8442583.0,
Tonga,TON,2020,,11.49,105265.0,
Tunisia,TUN,2020,,8.94,12161720.0,
Turkey,TUR,2020,,8.07,84135432.0,
Uganda,UGA,2020,37.3,6.46,44404608.0,
United States,USA,2020,,13.42,335942016.0,
Vietnam,VNM,2020,,8.16,96648680.0,
