Entity,Code,Year,Cocoa beans | 00000661 || Production | 005510 || tonnes
Africa,,1961,835368.0
Africa,,1970,1120835.0
Africa,,1980,1025805.0
Africa,,1990,1521760.0
Africa,,2000,2350853.8
Africa,,2010,2783863.0
Africa,,2021,3771117.5
Asia,,1961,8229.0
Asia,,1970,11558.0
Asia,,1980,58517.0
Asia,,1990,409804.0
Asia,,2000,509218.66
Asia,,2010,880834.1
Asia,,2021,769204.4
North America,,1961,93308.0
North America,,1970,89344.0
North America,,1980,84899.0
North America,,1990,112129.0
North America,,2000,82902.09
North America,,2010,138375.45
North America,,2021,127806.125
Oceania,,1961,14261.0
Oceania,,1970,29590.0
Oceania,,1980,33622.0
Oceania,,1990,45117.0
Oceania,,2000,51219.22
Oceania,,2010,46977.27
Oceania,,2021,49077.26
South America,,1961,235178.0
South America,,1970,292072.0
South America,,1980,467794.0
South America,,1990,443312.0
South America,,2000,344253.0
South America,,2010,479432.75
South America,,2021,863227.0
