Entity,Code,Year,2.2.2 - Proportion of children moderately or severely overweight (%) - SN_STA_OVWGT
Cambodia,KHM,2000,3.4
Cambodia,KHM,2005,2.4
Cambodia,KHM,2010,2.1
Cambodia,KHM,2015,2.4
Cambodia,KHM,2020,3.1
Cambodia,KHM,2022,3.8
China,CHN,2000,6.4
China,CHN,2005,6.6
China,CHN,2010,6.7
China,CHN,2015,7.4
China,CHN,2020,8.3
China,CHN,2022,8.9
Iran,IRN,2000,5.9
Iran,IRN,2005,6.5
Iran,IRN,2010,5.5
Iran,IRN,2015,4.1
Iran,IRN,2020,3.8
Iran,IRN,2022,3.8
Solomon Islands,SLB,2000,2.6
Solomon Islands,SLB,2005,2.8
Solomon Islands,SLB,2010,3.2
Solomon Islands,SLB,2015,4.1
Solomon Islands,SLB,2020,5.1
Solomon Islands,SLB,2022,5.5
Trinidad and Tobago,TTO,2000,5.6
Trinidad and Tobago,TTO,2005,7.3
Trinidad and Tobago,TTO,2010,9.5
Trinidad and Tobago,TTO,2015,12.0
Trinidad and Tobago,TTO,2020,13.7
Trinidad and Tobago,TTO,2022,13.9
Uruguay,URY,2000,9.5
Uruguay,URY,2005,9.3
Uruguay,URY,2010,9.2
Uruguay,URY,2015,9.6
Uruguay,URY,2020,10.8
Uruguay,URY,2022,11.5
