Entity,Code,Year,suffrage_lied
Argentina,ARG,1789,0
Argentina,ARG,1850,0
Argentina,ARG,1900,0
Argentina,ARG,1950,2
Argentina,ARG,2000,2
Argentina,ARG,2015,2
Argentina,ARG,2022,2
Australia,AUS,1789,0
Australia,AUS,1850,0
Australia,AUS,1900,1
Australia,AUS,1950,2
Australia,AUS,2000,2
Australia,AUS,2015,2
Australia,AUS,2022,2
Botswana,BWA,1900,0
Botswana,BWA,1950,0
Botswana,BWA,2000,2
Botswana,BWA,2015,2
Botswana,BWA,2022,2
China,CHN,1789,0
China,CHN,1850,0
China,CHN,1900,0
China,CHN,1950,2
China,CHN,2000,2
China,CHN,2015,2
China,CHN,2022,2
