Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Percent)
China,CHN,1990,29.03
China,CHN,1995,30.38
China,CHN,2000,33.61
China,CHN,2005,37.16
China,CHN,2010,40.31
China,CHN,2015,42.62
China,CHN,2019,43.04
India,IND,1990,14.52
India,IND,1995,16.11
India,IND,2000,17.9
India,IND,2005,19.28
India,IND,2010,22.48
India,IND,2015,25.52
India,IND,2019,27.4
South Africa,ZAF,1990,14.53
South Africa,ZAF,1995,15.6
South Africa,ZAF,2000,13.78
South Africa,ZAF,2005,10.96
South Africa,ZAF,2010,13.03
South Africa,ZAF,2015,15.65
South Africa,ZAF,2019,15.85
United Kingdom,GBR,1990,45.6
United Kingdom,GBR,1995,42.76
United Kingdom,GBR,2000,39.5
United Kingdom,GBR,2005,35.79
United Kingdom,GBR,2010,32.0
United Kingdom,GBR,2015,30.19
United Kingdom,GBR,2019,30.25
United States,USA,1990,41.25
United States,USA,1995,39.41
United States,USA,2000,38.45
United States,USA,2005,35.41
United States,USA,2010,33.14
United States,USA,2015,32.41
United States,USA,2019,32.5
World,OWID_WRL,1990,25.88
World,OWID_WRL,1995,26.82
World,OWID_WRL,2000,27.54
World,OWID_WRL,2005,28.8
World,OWID_WRL,2010,30.06
World,OWID_WRL,2015,31.61
World,OWID_WRL,2019,32.84
