Entity,Code,Year,"DALYs (Disability-Adjusted Life Years) - Communicable, maternal, neonatal, and nutritional diseases - Sex: Both - Age: All Ages (Percent)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,35.24,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,57.52,6602.424,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,27.09,5467.208,165516224.0,
Benin,BEN,2019,64.39,3156.439,12290443.0,
Brazil,BRA,2019,13.92,14685.128,211782880.0,
Burundi,BDI,2019,62.28,729.65845,11874838.0,
Cameroon,CMR,2019,61.28,3756.5095,25782342.0,
Cape Verde,CPV,2019,22.65,6835.0786,577037.0,
Chad,TCD,2019,73.32,1561.9967,16126868.0,
China,CHN,2019,5.75,15977.764,1421864064.0,
Congo,COG,2019,50.01,3695.0618,5570736.0,
Cote d'Ivoire,CIV,2019,63.94,5126.6343,26147544.0,
Dominican Republic,DOM,2019,21.68,18171.06,10881886.0,
Egypt,EGY,2019,13.34,11180.697,105618672.0,
Equatorial Guinea,GNQ,2019,59.79,16240.37,1553037.0,
Eswatini,SWZ,2019,56.73,8501.267,1169620.0,
Ethiopia,ETH,2019,58.11,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,2.28,48583.434,5521539.0,
Gabon,GAB,2019,42.15,14478.002,2242788.0,
Gambia,GMB,2019,52.91,2083.309,2508882.0,
Greece,GRC,2019,3.97,29721.586,10574026.0,
Haiti,HTI,2019,37.56,3101.5942,11160441.0,
India,IND,2019,30.63,6608.624,1383112064.0,
Indonesia,IDN,2019,20.78,11857.789,269582880.0,
Japan,JPN,2019,5.56,41697.41,125791680.0,
Kazakhstan,KAZ,2019,9.82,26351.805,18754260.0,
Kenya,KEN,2019,56.47,4601.2114,50951452.0,
Kiribati,KIR,2019,28.02,1990.518,124252.0,
Kuwait,KWT,2019,9.34,47314.797,4441105.0,
Malawi,MWI,2019,60.84,1517.7031,18867340.0,
Malaysia,MYS,2019,15.7,27674.402,32804024.0,
Mali,MLI,2019,70.32,2219.0466,20567430.0,
Mexico,MEX,2019,10.81,20064.5,125085312.0,
Micronesia (country),FSM,2019,17.71,3540.7825,111392.0,
Morocco,MAR,2019,14.17,8217.599,36304408.0,
Mozambique,MOZ,2019,68.44,1285.1848,30285602.0,
Namibia,NAM,2019,50.66,10009.578,2446648.0,
Nepal,NPL,2019,29.26,3922.0813,28832500.0,
Nicaragua,NIC,2019,14.67,5348.9873,6663919.0,
Niger,NER,2019,73.52,1217.446,23443400.0,
Nigeria,NGA,2019,68.74,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,49.93,5157.5464,223293280.0,
Papua New Guinea,PNG,2019,43.64,3947.8655,9542492.0,
Philippines,PHL,2019,26.1,8731.861,110380800.0,
Russia,RUS,2019,6.71,27254.574,145742288.0,
Rwanda,RWA,2019,47.69,2191.4016,12835029.0,
Senegal,SEN,2019,53.32,3430.484,16000783.0,
Serbia,SRB,2019,3.46,18310.08,7401056.0,
Singapore,SGP,2019,8.07,98283.31,5866408.0,
South Africa,ZAF,2019,49.63,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,9.81,13639.021,21649664.0,
Sudan,SDN,2019,35.21,4133.1304,43232092.0,
Tajikistan,TJK,2019,26.57,3575.2798,9337008.0,
Turkmenistan,TKM,2019,18.11,14992.604,6158424.0,
Uganda,UGA,2019,62.71,2250.015,42949076.0,
United States,USA,2019,4.48,62478.254,334319680.0,
Uzbekistan,UZB,2019,19.03,7348.147,32976946.0,
World,OWID_WRL,2019,26.36,16847.46,7764951040.0,
