Entity,Code,Year,"Current number of cases of drug use disorders, in both sexes aged all ages"
Afghanistan,AFG,1990,41923.9
Afghanistan,AFG,1995,68421.69
Afghanistan,AFG,2000,66946.516
Afghanistan,AFG,2005,94529.23
Afghanistan,AFG,2010,128046.76
Afghanistan,AFG,2015,164756.47
Afghanistan,AFG,2019,177387.48
Canada,CAN,1990,511783.72
Canada,CAN,1995,521808.16
Canada,CAN,2000,538157.94
Canada,CAN,2005,592115.5
Canada,CAN,2010,723075.25
Canada,CAN,2015,783008.6
Canada,CAN,2019,789316.8
China,CHN,1990,9007673.0
China,CHN,1995,9654763.0
China,CHN,2000,9221079.0
China,CHN,2005,10294498.0
China,CHN,2010,8842071.0
China,CHN,2015,8894065.0
China,CHN,2019,9669043.0
Croatia,HRV,1990,34673.93
Croatia,HRV,1995,35613.02
Croatia,HRV,2000,35161.51
Croatia,HRV,2005,35428.453
Croatia,HRV,2010,34133.05
Croatia,HRV,2015,32899.64
Croatia,HRV,2019,28268.492
Eswatini,SWZ,1990,4512.7764
Eswatini,SWZ,1995,5882.446
Eswatini,SWZ,2000,7011.726
Eswatini,SWZ,2005,7483.2793
Eswatini,SWZ,2010,7863.4927
Eswatini,SWZ,2015,8127.8184
Eswatini,SWZ,2019,8315.477
South Korea,KOR,1990,407232.38
South Korea,KOR,1995,413554.66
South Korea,KOR,2000,412415.38
South Korea,KOR,2005,400425.25
South Korea,KOR,2010,400458.97
South Korea,KOR,2015,405339.03
South Korea,KOR,2019,403881.8
United Kingdom,GBR,1990,893295.6
United Kingdom,GBR,1995,950340.4
United Kingdom,GBR,2000,977444.5
United Kingdom,GBR,2005,1090652.6
United Kingdom,GBR,2010,1219755.0
United Kingdom,GBR,2015,1272143.0
United Kingdom,GBR,2019,1205422.1
United States,USA,1990,5589383.0
United States,USA,1995,5954902.0
United States,USA,2000,6405806.0
United States,USA,2005,7497260.5
United States,USA,2010,8337826.5
United States,USA,2015,9830842.0
United States,USA,2019,10699858.0
