Entity,Code,Year,15.5.1 - Red List Index - ER_RSK_LST
Europe (UN),,1993,0.91
Europe (UN),,1995,0.91
Europe (UN),,2000,0.9
Europe (UN),,2005,0.88
Europe (UN),,2010,0.87
Europe (UN),,2015,0.85
Europe (UN),,2020,0.84
Europe (UN),,2023,0.83
Latin America and the Caribbean (UN),,1993,0.78
Latin America and the Caribbean (UN),,1995,0.78
Latin America and the Caribbean (UN),,2000,0.77
Latin America and the Caribbean (UN),,2005,0.76
Latin America and the Caribbean (UN),,2010,0.75
Latin America and the Caribbean (UN),,2015,0.75
Latin America and the Caribbean (UN),,2020,0.74
Latin America and the Caribbean (UN),,2023,0.73
Northern Africa (UN),,1993,0.93
Northern Africa (UN),,1995,0.93
Northern Africa (UN),,2000,0.92
Northern Africa (UN),,2005,0.91
Northern Africa (UN),,2010,0.89
Northern Africa (UN),,2015,0.88
Northern Africa (UN),,2020,0.87
Northern Africa (UN),,2023,0.86
Northern America (UN),,1993,0.86
Northern America (UN),,1995,0.86
Northern America (UN),,2000,0.86
Northern America (UN),,2005,0.85
Northern America (UN),,2010,0.85
Northern America (UN),,2015,0.84
Northern America (UN),,2020,0.84
Northern America (UN),,2023,0.84
Oceania (UN),,1993,0.88
Oceania (UN),,1995,0.87
Oceania (UN),,2000,0.86
Oceania (UN),,2005,0.84
Oceania (UN),,2010,0.83
Oceania (UN),,2015,0.81
Oceania (UN),,2020,0.8
Oceania (UN),,2023,0.79
Sub-Saharan Africa (UN),,1993,0.81
Sub-Saharan Africa (UN),,1995,0.81
Sub-Saharan Africa (UN),,2000,0.79
Sub-Saharan Africa (UN),,2005,0.78
Sub-Saharan Africa (UN),,2010,0.76
Sub-Saharan Africa (UN),,2015,0.74
Sub-Saharan Africa (UN),,2020,0.72
Sub-Saharan Africa (UN),,2023,0.71
World,OWID_WRL,1993,0.81
World,OWID_WRL,1995,0.81
World,OWID_WRL,2000,0.8
World,OWID_WRL,2005,0.78
World,OWID_WRL,2010,0.77
World,OWID_WRL,2015,0.75
World,OWID_WRL,2020,0.73
World,OWID_WRL,2023,0.72
