Entity,Code,Year,Deaths - Self-harm by firearm - Sex: Both - Age: Age-standardized (Rate)
Canada,CAN,1990,3.92
Canada,CAN,1995,3.23
Canada,CAN,2000,2.34
Canada,CAN,2005,1.75
Canada,CAN,2010,1.5
Canada,CAN,2015,1.54
Canada,CAN,2019,1.47
India,IND,1990,0.7
India,IND,1995,0.64
India,IND,2000,0.66
India,IND,2005,0.56
India,IND,2010,0.54
India,IND,2015,0.44
India,IND,2019,0.43
Japan,JPN,1990,0.1
Japan,JPN,1995,0.08
Japan,JPN,2000,0.06
Japan,JPN,2005,0.05
Japan,JPN,2010,0.04
Japan,JPN,2015,0.03
Japan,JPN,2019,0.03
Russia,RUS,1990,0.72
Russia,RUS,1995,2.02
Russia,RUS,2000,1.91
Russia,RUS,2005,1.87
Russia,RUS,2010,1.13
Russia,RUS,2015,0.8
Russia,RUS,2019,0.6
South Africa,ZAF,1990,0.85
South Africa,ZAF,1995,0.86
South Africa,ZAF,2000,1.16
South Africa,ZAF,2005,1.32
South Africa,ZAF,2010,0.93
South Africa,ZAF,2015,0.7
South Africa,ZAF,2019,0.68
United Kingdom,GBR,1990,0.37
United Kingdom,GBR,1995,0.31
United Kingdom,GBR,2000,0.25
United Kingdom,GBR,2005,0.19
United Kingdom,GBR,2010,0.17
United Kingdom,GBR,2015,0.14
United Kingdom,GBR,2019,0.14
United States,USA,1990,6.86
United States,USA,1995,6.59
United States,USA,2000,5.79
United States,USA,2005,5.62
United States,USA,2010,5.69
United States,USA,2015,6.03
United States,USA,2019,5.76
