Entity,Code,Year,"Gini coefficient (Disposable household income, equivalized)","Gini coefficient (Market income, equivalized)",Population,Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Belgium,BEL,2019,,,11510569.0,
Canada,CAN,2019,0.3,0.421,37522584.0,
Czechia,CZE,2019,,,10536876.0,
Estonia,EST,2019,,,1327039.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,,,5521539.0,
Germany,DEU,2019,0.296,0.508,83148144.0,
Greece,GRC,2019,,,10574026.0,
Israel,ISR,2019,,,8607922.0,
Italy,ITA,2019,,,59727936.0,
Lithuania,LTU,2019,,,2849083.0,
Netherlands,NLD,2019,,,17363260.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Slovakia,SVK,2019,,,5453932.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,0.319,0.491,47131372.0,
United States,USA,2019,0.391,0.505,334319680.0,
