Entity,Code,Year,13.1.3 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS
Bangladesh,BGD,2016,8.95
Bangladesh,BGD,2018,11.33
Bangladesh,BGD,2020,11.93
France,FRA,2016,100.0
France,FRA,2018,100.0
Japan,JPN,2012,100.0
Japan,JPN,2014,100.0
Japan,JPN,2016,100.0
Japan,JPN,2018,100.0
Japan,JPN,2020,100.0
Jordan,JOR,2005,0.0
Jordan,JOR,2006,0.0
Jordan,JOR,2008,0.0
Jordan,JOR,2010,0.0
Jordan,JOR,2012,0.0
Jordan,JOR,2014,0.0
Jordan,JOR,2016,0.0
Jordan,JOR,2018,0.0
Jordan,JOR,2022,100.0
Mexico,MEX,2016,75.0
Mexico,MEX,2018,100.0
Mexico,MEX,2020,100.0
Thailand,THA,2016,31.84
Thailand,THA,2018,35.42
Thailand,THA,2020,52.24
United Kingdom,GBR,2018,100.0
United Kingdom,GBR,2020,100.0
United States,USA,2016,100.0
United States,USA,2018,100.0
United States,USA,2020,100.0
