Entity,Code,Year,Top marginal income tax rate (Reynolds (2008))
Belgium,BEL,1979,76
Belgium,BEL,1990,55
Belgium,BEL,2002,52
Bolivia,BOL,1979,48
Bolivia,BOL,1990,10
Bolivia,BOL,2002,13
Botswana,BWA,1979,75
Botswana,BWA,1990,50
Botswana,BWA,2002,25
Colombia,COL,1979,56
Colombia,COL,1990,30
Colombia,COL,2002,35
France,FRA,1979,60
France,FRA,1990,52
France,FRA,2002,50
Germany,DEU,1979,56
Germany,DEU,1990,53
Germany,DEU,2002,49
Guatemala,GTM,1979,40
Guatemala,GTM,1990,34
Guatemala,GTM,2002,31
Indonesia,IDN,1979,50
Indonesia,IDN,1990,35
Indonesia,IDN,2002,35
Iran,IRN,1979,90
Iran,IRN,1990,75
Iran,IRN,2002,35
Ireland,IRL,1979,65
Ireland,IRL,1990,56
Ireland,IRL,2002,42
Jamaica,JAM,1979,58
Jamaica,JAM,1990,33
Jamaica,JAM,2002,25
Japan,JPN,1979,75
Japan,JPN,1990,50
Japan,JPN,2002,50
Netherlands,NLD,1979,72
Netherlands,NLD,1990,60
Netherlands,NLD,2002,52
Pakistan,PAK,1979,55
Pakistan,PAK,1990,45
Pakistan,PAK,2002,35
Sweden,SWE,1979,87
Sweden,SWE,1990,65
Sweden,SWE,2002,56
Trinidad and Tobago,TTO,1979,70
Trinidad and Tobago,TTO,1990,35
Trinidad and Tobago,TTO,2002,35
United Kingdom,GBR,1979,83
United Kingdom,GBR,1990,40
United Kingdom,GBR,2002,40
United States,USA,1979,70
United States,USA,1990,33
United States,USA,2002,39
