Entity,Code,Year,Annual area burnt per wildfire
Africa,,2012,21449.66
Africa,,2014,20898.078
Africa,,2016,21291.387
Africa,,2018,18207.258
Africa,,2020,20619.545
Africa,,2022,20166.766
Africa,,2024,3998.2583
Asia,,2012,18295.22
Asia,,2014,18540.316
Asia,,2016,16971.742
Asia,,2018,15765.497
Asia,,2020,17240.297
Asia,,2022,15861.984
Asia,,2024,3608.091
Europe,,2012,22143.082
Europe,,2014,18147.69
Europe,,2016,23203.283
Europe,,2018,19453.896
Europe,,2020,21736.426
Europe,,2022,18230.12
Europe,,2024,1937.5585
North America,,2012,23778.947
North America,,2014,22014.889
North America,,2016,19084.477
North America,,2018,22950.447
North America,,2020,25524.385
North America,,2022,21801.615
North America,,2024,2750.1912
Oceania,,2012,55751.074
Oceania,,2014,44135.574
Oceania,,2016,34600.34
Oceania,,2018,38783.332
Oceania,,2020,36026.453
Oceania,,2022,37228.047
Oceania,,2024,5523.4346
South America,,2012,20774.469
South America,,2014,19628.55
South America,,2016,21264.8
South America,,2018,17185.42
South America,,2020,22153.19
South America,,2022,21230.508
South America,,2024,3843.5386
