Entity,Code,Year,Deaths - Cause: Tuberculosis - Sex: Both sexes - Age group: ALLAges
Angola,AGO,2000,12342.88
Angola,AGO,2005,13094.0
Angola,AGO,2010,15902.09
Angola,AGO,2015,15519.72
Angola,AGO,2019,16990.72
Belarus,BLR,2000,846.23
Belarus,BLR,2005,1142.68
Belarus,BLR,2010,909.18
Belarus,BLR,2015,450.27
Belarus,BLR,2019,268.61
Denmark,DNK,2000,39.75
Denmark,DNK,2005,27.07
Denmark,DNK,2010,35.71
Denmark,DNK,2015,17.0
Denmark,DNK,2019,15.5
Eritrea,ERI,2000,163.95
Eritrea,ERI,2005,921.9
Eritrea,ERI,2010,751.56
Eritrea,ERI,2015,603.1
Eritrea,ERI,2019,543.45
Montenegro,MNE,2000,14.41
Montenegro,MNE,2005,3.75
Montenegro,MNE,2010,1.25
Montenegro,MNE,2015,1.25
Montenegro,MNE,2019,1.25
