Entity,Code,Year,"Prevalence of current tobacco use, males (% of male adults)"
Cambodia,KHM,2000,65.2
Cambodia,KHM,2005,57.5
Cambodia,KHM,2010,49.4
Cambodia,KHM,2015,42.4
Cambodia,KHM,2020,36.1
Kenya,KEN,2000,32.4
Kenya,KEN,2005,28.6
Kenya,KEN,2010,25.2
Kenya,KEN,2015,22.2
Kenya,KEN,2020,19.5
Switzerland,CHE,2000,32.9
Switzerland,CHE,2005,31.8
Switzerland,CHE,2010,30.5
Switzerland,CHE,2015,29.3
Switzerland,CHE,2020,28.1
United Kingdom,GBR,2000,39.2
United Kingdom,GBR,2005,31.9
United Kingdom,GBR,2010,25.9
United Kingdom,GBR,2015,21.2
United Kingdom,GBR,2020,17.3
