Entity,Code,Year,Very important in life: Friends,Rather important in life: Friends,Not very important in life: Friends,Not at all important in life: Friends,Don't know: Important in life: Friends,No answer: Important in life: Friends
Bolivia,BOL,2022,20.89985,27.81809,44.41219,6.531204,0.1935172,0.1451379
Brazil,BRA,2022,38.65504,45.97171,12.62491,2.587441,0.1091035,0.0517961
China,CHN,2022,34.50488,57.02899,7.964835,0.2570929,0.0,0.2441972
Egypt,EGY,2022,41.66666,39.66667,13.66667,4.916667,0.0833333,0.0
France,FRA,2022,51.45305,39.10625,7.84215,1.322928,0.2756147,0.0
Germany,DEU,2022,54.82501,40.56506,3.76063,0.2170003,0.1154238,0.5168735
Japan,JPN,2022,40.42868,50.55432,6.799705,0.8869179,0.2217295,1.108647
Mexico,MEX,2022,37.44416,39.09145,18.72006,4.695989,0.0483472,0.0
Morocco,MAR,2022,42.25,42.0,12.16667,3.583333,0.0,0.0
Russia,RUS,2022,39.27123,45.40368,12.37716,2.465746,0.45079,0.0313967
Ukraine,UKR,2022,33.53347,53.76279,9.978584,1.204347,0.9549025,0.5659004
United Kingdom,GBR,2022,59.20674,35.54959,4.718211,0.5135122,0.0119532,0.0
United States,USA,2022,50.67214,38.38163,9.379413,1.110733,0.0,0.456084
