Entity,Code,Year,Estimated investment - Field: All
China,CHN,2021,22975000000
China,CHN,2020,14435740780
China,CHN,2018,18382493339
China,CHN,2014,2019085828
China,CHN,2012,50749164
China,CHN,2016,7357738043
China,CHN,2010,130479735
United Kingdom,GBR,2021,5927000000
United Kingdom,GBR,2020,6342596290
United Kingdom,GBR,2018,2394526136
United Kingdom,GBR,2016,2927514922
United Kingdom,GBR,2014,912251363
United Kingdom,GBR,2012,321017965
United Kingdom,GBR,2010,195098270
United States,USA,2021,140536000000
United States,USA,2020,82886153927
United States,USA,2018,50349794936
United States,USA,2016,51907221768
United States,USA,2014,14577708107
United States,USA,2012,16134693401
United States,USA,2010,1872694856
World,OWID_WRL,2021,220832000000
World,OWID_WRL,2020,162919291199
World,OWID_WRL,2018,103940131550
World,OWID_WRL,2016,69643920349
World,OWID_WRL,2014,25320984512
World,OWID_WRL,2012,18824399075
World,OWID_WRL,2010,2947599336
