Entity,Code,Year,"2.a.2 - Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_AGRL"
Argentina,ARG,2000,11330000.0
Argentina,ARG,2005,62070000.0
Argentina,ARG,2010,223310000.0
Argentina,ARG,2015,144890000.0
Argentina,ARG,2021,92860000.0
Chile,CHL,2000,20430000.0
Chile,CHL,2005,12400000.0
Chile,CHL,2010,5170000.0
Chile,CHL,2015,7000000.0
Rwanda,RWA,2000,83400000.0
Rwanda,RWA,2005,41720000.0
Rwanda,RWA,2010,157720000.0
Rwanda,RWA,2015,235460000.0
Rwanda,RWA,2021,109560000.0
