Entity,Code,Year,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND
Brazil,BRA,2011,11.12
Brazil,BRA,2018,6.47
Brazil,BRA,2020,9.77
Brazil,BRA,2021,4.81
France,FRA,2011,11.63
France,FRA,2018,6.53
France,FRA,2020,6.3
France,FRA,2021,6.21
Germany,DEU,2011,12.64
Germany,DEU,2018,7.31
Germany,DEU,2020,7.47
Germany,DEU,2021,6.37
Israel,ISR,2018,10.48
Israel,ISR,2020,12.31
Israel,ISR,2021,13.91
Jordan,JOR,2018,4.58
Jordan,JOR,2020,10.65
Jordan,JOR,2021,6.88
New Zealand,NZL,2011,11.99
New Zealand,NZL,2018,8.28
New Zealand,NZL,2020,7.83
New Zealand,NZL,2021,7.35
Oman,OMN,2018,4.29
Oman,OMN,2020,4.23
Oman,OMN,2021,4.31
Rwanda,RWA,2018,6.75
Rwanda,RWA,2020,8.54
Rwanda,RWA,2021,5.21
South Africa,ZAF,2011,17.73
South Africa,ZAF,2018,15.82
South Africa,ZAF,2020,15.05
South Africa,ZAF,2021,14.81
Turkey,TUR,2018,13.09
Turkey,TUR,2020,11.11
Turkey,TUR,2021,22.44
