Entity,Code,Year,Share of waste recycled from total regional waste
Americas (excl. USA),,2000,4.721963
Americas (excl. USA),,2019,9.554245
Asia (excl. China and India),,2000,3.8260822
Asia (excl. China and India),,2019,8.351267
China,CHN,2000,4.7811875
China,CHN,2019,12.801141
Europe,,2000,4.4350724
Europe,,2019,12.384406
India,IND,2000,5.072351
India,IND,2019,13.333093
Middle East & North Africa,,2000,2.8385525
Middle East & North Africa,,2019,5.4478326
Oceania,,2000,3.8013995
Oceania,,2019,6.8709826
Sub-Saharan Africa,,2000,3.0122259
Sub-Saharan Africa,,2019,5.7193336
United States,USA,2000,2.3450744
United States,USA,2019,4.488883
World,OWID_WRL,2000,3.7033863
World,OWID_WRL,2019,9.292344
