Entity,Code,Year,Cereal yield index (World Bank (2017) & OWID),Land under cereal production index (World Bank (2017)),Population (historical estimates),Continent
Africa,,1961,,,291177974.0,
Africa,,2014,,,1170299297.0,
Asia,,1961,,,1725304326.0,
Asia,,2014,,,4412496398.0,
Bahamas,BHS,1961,100.0,100.0,120227.0,
Bahamas,BHS,2014,1228.0,37.0,389137.0,
Belize,BLZ,1961,100.0,100.0,93774.0,
Belize,BLZ,2014,603.0,323.0,352343.0,
Brazil,BRA,1961,100.0,100.0,75330008.0,
Brazil,BRA,2014,345.0,196.0,203459648.0,
Chile,CHL,1961,100.0,100.0,8313539.0,
Chile,CHL,2014,425.0,55.0,17687108.0,
China,CHN,1961,100.0,100.0,655260352.0,
China,CHN,2014,494.0,106.0,1385189632.0,
Cyprus,CYP,1961,100.0,100.0,594777.0,
Cyprus,CYP,2014,44.0,18.0,1176997.0,
Europe,,1961,,,612306138.0,
Europe,,2014,,,742190861.0,
Ghana,GHA,1961,100.0,100.0,7109036.0,
Ghana,GHA,2014,209.0,305.0,28196356.0,
Guinea,GIN,1961,100.0,100.0,3578635.0,
Guinea,GIN,2014,93.0,786.0,11333362.0,
Haiti,HTI,1961,100.0,100.0,3974940.0,
Haiti,HTI,2014,98.0,129.0,10412741.0,
Iran,IRN,1961,100.0,100.0,21983630.0,
Iran,IRN,2014,220.0,187.0,79961672.0,
Italy,ITA,1961,100.0,100.0,49812724.0,
Italy,ITA,2014,262.0,53.0,60322792.0,
Japan,JPN,1961,100.0,100.0,95355464.0,
Japan,JPN,2014,146.0,39.0,127476728.0,
Kenya,KEN,1961,100.0,100.0,8047476.0,
Kenya,KEN,2014,131.0,241.0,45831860.0,
Mauritius,MUS,1961,100.0,100.0,693252.0,
Mauritius,MUS,2014,249.0,404.0,1292112.0,
Mozambique,MOZ,1961,100.0,100.0,6917531.0,
Mozambique,MOZ,2014,80.0,334.0,26038704.0,
Niger,NER,1961,100.0,100.0,3602538.0,
Niger,NER,2014,89.0,522.0,19372012.0,
North America,,1961,100.0,100.0,269992478.0,
North America,,2014,312.0,88.0,565486685.0,
Oceania,,1961,,,16213869.0,
Oceania,,2014,,,39729340.0,
Oman,OMN,1961,100.0,100.0,546456.0,
Oman,OMN,2014,51.0,2727.0,4009272.0,
Paraguay,PRY,1961,100.0,100.0,1941220.0,
Paraguay,PRY,2014,262.0,1349.0,6090727.0,
Portugal,PRT,1961,100.0,100.0,8896923.0,
Portugal,PRT,2014,563.0,16.0,10408379.0,
Solomon Islands,SLB,1961,100.0,100.0,136795.0,
Solomon Islands,SLB,2014,105.0,1312.0,597386.0,
South America,,1961,,,153377880.0,
South America,,2014,,,409128901.0,
Sudan,SDN,1961,100.0,100.0,8577496.0,
Sudan,SDN,2014,75.0,641.0,37003248.0,
Tanzania,TZA,1961,100.0,100.0,10337892.0,
Tanzania,TZA,2014,208.0,508.0,50814552.0,
United States,USA,1961,100.0,100.0,179087280.0,
United States,USA,2014,303.0,89.0,322033952.0,
World,OWID_WRL,1961,100.0,100.0,3068370688.0,
World,OWID_WRL,2014,275.0,115.5044203,7339013632.0,
