Entity,Code,Year,Change in global mean surface temperature caused by greenhouse gas emissions
Bolivia,BOL,1851,8.53327e-06
Bolivia,BOL,1880,0.00012163045
Bolivia,BOL,1900,0.00032253913
Bolivia,BOL,1920,0.0006386482
Bolivia,BOL,1940,0.0011337289
Bolivia,BOL,1960,0.0016778015
Bolivia,BOL,1980,0.0027222706
Bolivia,BOL,2000,0.0034940662
Bolivia,BOL,2021,0.004703939
Ethiopia,ETH,1851,1.6912172e-05
Ethiopia,ETH,1880,0.0005166478
Ethiopia,ETH,1900,0.0008814573
Ethiopia,ETH,1920,0.0012907856
Ethiopia,ETH,1940,0.0018038473
Ethiopia,ETH,1960,0.0027741266
Ethiopia,ETH,1980,0.0039820634
Ethiopia,ETH,2000,0.0048020324
Ethiopia,ETH,2021,0.007905216
Finland,FIN,1851,6.50477e-06
Finland,FIN,1880,0.00018549054
Finland,FIN,1900,0.0003418985
Finland,FIN,1920,0.00055583316
Finland,FIN,1940,0.00074506196
Finland,FIN,1960,0.0011306303
Finland,FIN,1980,0.0020542848
Finland,FIN,2000,0.0027558429
Finland,FIN,2021,0.0035490356
Grenada,GRD,1851,1.3289191e-08
Grenada,GRD,1880,4.2642432e-07
Grenada,GRD,1900,7.158429e-07
Grenada,GRD,1920,9.144445e-07
Grenada,GRD,1940,9.84908e-07
Grenada,GRD,1960,1.7425592e-06
Grenada,GRD,1980,2.7627482e-06
Grenada,GRD,2000,3.5091473e-06
Grenada,GRD,2021,5.908617e-06
Liberia,LBR,1851,4.344318e-06
Liberia,LBR,1880,9.0337206e-05
Liberia,LBR,1900,0.00011129706
Liberia,LBR,1920,0.00013838772
Liberia,LBR,1940,0.00019224234
Liberia,LBR,1960,0.00031557662
Liberia,LBR,1980,0.00036773895
Liberia,LBR,2000,0.0004557881
Liberia,LBR,2021,0.00067501696
New Zealand,NZL,1851,1.1055418e-05
New Zealand,NZL,1880,0.0003841463
New Zealand,NZL,1900,0.0007920252
New Zealand,NZL,1920,0.0013190367
New Zealand,NZL,1940,0.0018880945
New Zealand,NZL,1960,0.002797938
New Zealand,NZL,1980,0.0038648446
New Zealand,NZL,2000,0.004447012
New Zealand,NZL,2021,0.0048025683
Panama Canal Zone (Jones et al. 2023),,1851,0.0
Panama Canal Zone (Jones et al. 2023),,1880,0.0
Panama Canal Zone (Jones et al. 2023),,1900,0.0
Panama Canal Zone (Jones et al. 2023),,1920,0.0
Panama Canal Zone (Jones et al. 2023),,1940,0.0
Panama Canal Zone (Jones et al. 2023),,1960,8.4645e-07
Panama Canal Zone (Jones et al. 2023),,1980,6.64785e-06
Panama Canal Zone (Jones et al. 2023),,2000,6.64785e-06
Panama Canal Zone (Jones et al. 2023),,2021,6.64785e-06
Saudi Arabia,SAU,1851,-5.3594204e-07
Saudi Arabia,SAU,1880,-4.283914e-06
Saudi Arabia,SAU,1900,-3.5074713e-06
Saudi Arabia,SAU,1920,-4.560395e-06
Saudi Arabia,SAU,1940,1.4512552e-05
Saudi Arabia,SAU,1960,0.00064908125
Saudi Arabia,SAU,1980,0.0018977774
Saudi Arabia,SAU,2000,0.0052691195
Saudi Arabia,SAU,2021,0.012419025
