Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2019,179.45535,2079.9219,
Albania,ALB,2019,17.543667,13655.665,
Algeria,DZA,2019,0.23338939,11627.28,
Angola,AGO,2019,68.38518,6602.424,
Antigua and Barbuda,ATG,2019,0.5486516,23035.658,
Australia,AUS,2019,0.030455276,49379.094,
Barbados,BRB,2019,0.043501556,15954.803,
Belize,BLZ,2019,11.184866,9028.552,
Benin,BEN,2019,143.48445,3156.439,
Bermuda,BMU,2019,0.54531527,81681.73,
Bhutan,BTN,2019,70.04097,11797.284,
Bolivia,BOL,2019,27.759039,8528.749,
Botswana,BWA,2019,50.056385,15117.995,
Burundi,BDI,2019,186.15117,729.65845,
Cambodia,KHM,2019,133.12271,4464.2944,
Cameroon,CMR,2019,84.9465,3756.5095,
Central African Republic,CAF,2019,251.24039,861.7668,
Chad,TCD,2019,195.55023,1561.9967,
Comoros,COM,2019,113.36182,3290.6506,
Congo,COG,2019,66.66997,3695.0618,
Cote d'Ivoire,CIV,2019,118.36305,5126.6343,
Democratic Republic of Congo,COD,2019,156.9232,1059.8921,
Djibouti,DJI,2019,32.754246,4768.113,
Eswatini,SWZ,2019,85.76491,8501.267,
Ethiopia,ETH,2019,129.95076,2181.659,
Fiji,FJI,2019,44.900414,13241.354,
Guatemala,GTM,2019,50.188416,8671.703,
Haiti,HTI,2019,173.4454,3101.5942,
Kiribati,KIR,2019,193.45674,1990.518,
Laos,LAO,2019,155.40918,7840.0713,
Liberia,LBR,2019,122.113075,1455.6377,
Malawi,MWI,2019,141.89943,1517.7031,
Mauritania,MRT,2019,53.985767,5505.6465,
Montenegro,MNE,2019,17.734922,21537.809,
Niger,NER,2019,199.51459,1217.446,
Palestine,PSE,2019,1.4275602,6245.4487,
Papua New Guinea,PNG,2019,229.51721,3947.8655,
Samoa,WSM,2019,100.90056,6346.1465,
Solomon Islands,SLB,2019,397.25952,2616.863,
Somalia,SOM,2019,272.01663,1138.2859,
Tonga,TON,2019,39.133133,6344.3115,
Tuvalu,TUV,2019,17.637321,4816.553,
